question_id,sample_id,source_index,category,population,evidence_ids,cc80_16000_evidence,cc80_16000_complete,cc80_32000_evidence,cc80_32000_complete,aspect_static_16000_evidence,aspect_static_16000_complete,aspect_static_32000_evidence,aspect_static_32000_complete,fanout_16000_evidence,fanout_16000_complete,fanout_32000_evidence,fanout_32000_complete
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,conv-41,0,2,targeted,b3eed047db0e00026bd60eae556f5318549504e7f8538cf5841c3dde1587145b,0,False,1,True,0,False,1,True,0,False,1,True
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,conv-41,1,2,targeted,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3,1,True,1,True,1,True,1,True,1,True,1,True
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,conv-41,2,1,other,22d0ef8feac2ff8b70ebf50e7ac07a66ecf3215cccbd8153d4ae81d646b7cc30|29fc15d78dffc2908fef8b675032427a1f73a896dcb23179bd12c746c39c80e9,2,True,2,True,2,True,2,True,2,True,2,True
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,3,1,other,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3|6670dba22c43db2eda64b12d06762a0cf245c8b4a44be18c8016bb994b28f167,2,True,2,True,2,True,2,True,2,True,2,True
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,conv-41,4,2,targeted,ffcba7be27021bb3502b81231ee30c391f5c1afa52baed98dad53e8f348f90f8,1,True,1,True,1,True,1,True,1,True,1,True
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,conv-41,5,2,targeted,32ffe8a7dedad95eff25c3a44c3f4d4e138b62d6feb299712e9df36a6209d70d,1,True,1,True,0,False,1,True,0,False,1,True
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,1,breadth,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3|302bcf455f382dfb8317666b1cf7b9d08310bab660ce3b6e2095580d8c852a3d|44e4275f99b17ccde061922abb2c2af5e46c9b412e135c4697ec4f9c0d860d20|f12f9596510d9b27f6d57f48f20ecad8b621950f84dce3f146bec206f9574229,3,False,3,False,4,True,4,True,4,True,4,True
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,conv-41,7,1,other,32ffe8a7dedad95eff25c3a44c3f4d4e138b62d6feb299712e9df36a6209d70d|658102cf34b8db5782589fb6483c95dcbb3c2d75c5488c842ff4a52698803ee7,1,False,2,True,1,False,2,True,1,False,1,False
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,conv-41,8,3,targeted,b113c3663450ebbfeb34bc170673ccf9f3e195742d2508c736262d6b56888ece,0,False,0,False,0,False,0,False,0,False,0,False
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,conv-41,9,1,other,b1b79843720975568442dfcef5ebba03e43b752b821810b307e9ece9389481a6|ed9ebb09b50d16dd541274a6a4e4946d574069d7876145b820c1ac1250359c38,2,True,2,True,2,True,2,True,2,True,2,True
ada2a7fd1f38dfadd6d076b8948d8f798e4598ce2cbe02221a32b37af3cd7e79,conv-41,10,2,targeted,d7a6b0a42040a6e06f32803e589d48544c793e1b105c533ceb8f4ff1d834f5ab,1,True,1,True,0,False,1,True,0,False,1,True
d28bb65d4e094f52445fc730231dc68f37035b4fc9b9e3385f6efa7275744efc,conv-41,11,1,breadth,6056c8a9f3cff821fc7dd54293191a4327a8e208d96f5f69986d93faf6fcf9f3|6a53420f893f18043889f110f9607a29e69f1610e3cacb9d84c964bda9a6c708|ab6b2c4d0cfb606f25c26dbc395846ecb7a15d9795dfaa5e41ea4200bbccc435|d8e7c4460f7873090f0d67232502422611b4f69190679b70c8d52dec4ea09080,1,False,1,False,2,False,3,False,1,False,4,True
75f30b93fb3bbac1e1de7fb1b06546578b4f93f47ac8e9486ab016fcfa7951c5,conv-41,12,1,other,4ae40840518d1dae956915aa90d6b0512870dc2ee704156c9e568d0dc87fc64b|7194d568a6373a2cc7e88d06cd4bfd2301f5e117e25f0c9f0127203e7fa7e405,1,False,2,True,2,True,2,True,2,True,2,True
714abed9c5552df1a31661a57382863fa09c65b44e7a6aa98821bd86dcedf176,conv-41,13,2,targeted,23bba44c0fb81c410ec3d56662079837a364df49f0f595131c5e91e79b8ae241,1,True,1,True,1,True,1,True,1,True,1,True
6ddead46f2e3f732161f7599e1e00e98b45f1fd9c5cf00b6dfc48303ced391d1,conv-41,14,3,other,4ae40840518d1dae956915aa90d6b0512870dc2ee704156c9e568d0dc87fc64b|b05ba4a6c3aac9550093e09e48e2222082724dd07febf465c2bd8d246827a7d4,1,False,1,False,1,False,1,False,1,False,1,False
0f04797f3f9a63e1500e2cd1de89cc856bcdd79ae6810f1d3ede536dc11e9105,conv-41,15,1,other,0fdd8704e0b813d5220317b8a761db1ff08d62e6aeff698e431d82a5e44ef3bd|d7a6b0a42040a6e06f32803e589d48544c793e1b105c533ceb8f4ff1d834f5ab,2,True,2,True,2,True,2,True,2,True,2,True
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,conv-41,16,2,targeted,0fdd8704e0b813d5220317b8a761db1ff08d62e6aeff698e431d82a5e44ef3bd,1,True,1,True,1,True,1,True,1,True,1,True
6c7d20b33db076d64a3b02c3a3374170f6adb0b03975d00a3941b2d314bf9b4b,conv-41,17,3,targeted,248fd29caa69bf7a1214d07f17f5adb5156f1517e670cc51cf56e9458a50132c,1,True,1,True,1,True,1,True,1,True,1,True
