question_id,question_content_sha256,sample_id,source_index,category,population,surface_class,eligible,evidence_candidates,dense_best_evidence_rank,dense_worst_evidence_rank,dense_8000_complete,dense_8000_any,dense_8000_delivered,dense_8000_chars,dense_8000_payload_sha256,dense_8000_ranking_sha256,dense_16000_complete,dense_16000_any,dense_16000_delivered,dense_16000_chars,dense_16000_payload_sha256,dense_16000_ranking_sha256,dense_32000_complete,dense_32000_any,dense_32000_delivered,dense_32000_chars,dense_32000_payload_sha256,dense_32000_ranking_sha256,bm25_best_evidence_rank,bm25_worst_evidence_rank,bm25_8000_complete,bm25_8000_any,bm25_8000_delivered,bm25_8000_chars,bm25_8000_payload_sha256,bm25_8000_ranking_sha256,bm25_16000_complete,bm25_16000_any,bm25_16000_delivered,bm25_16000_chars,bm25_16000_payload_sha256,bm25_16000_ranking_sha256,bm25_32000_complete,bm25_32000_any,bm25_32000_delivered,bm25_32000_chars,bm25_32000_payload_sha256,bm25_32000_ranking_sha256,hybrid_best_evidence_rank,hybrid_worst_evidence_rank,hybrid_8000_complete,hybrid_8000_any,hybrid_8000_delivered,hybrid_8000_chars,hybrid_8000_payload_sha256,hybrid_8000_ranking_sha256,hybrid_16000_complete,hybrid_16000_any,hybrid_16000_delivered,hybrid_16000_chars,hybrid_16000_payload_sha256,hybrid_16000_ranking_sha256,hybrid_32000_complete,hybrid_32000_any,hybrid_32000_delivered,hybrid_32000_chars,hybrid_32000_payload_sha256,hybrid_32000_ranking_sha256
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,65ac552fe5146c39aaa65c250ddab0516010b63c585a14153c85302f57d8dc9b,conv-41,0,2,targeted,surface_literal,True,1,156,156,False,False,20,7956,36699fecd5c3b0a4061a772e713a9d45349db44cb50f5a9ea9158be41e05e73f,da109b65fcac2d5b3c8c869a1ff353cde42a9af34544b1cb296596acfe97e51f,False,False,46,15982,c309d09efdbca8514ecff825398946a8611d5e2139b841d0b91a184e0fb52b76,da109b65fcac2d5b3c8c869a1ff353cde42a9af34544b1cb296596acfe97e51f,False,False,97,31898,87e4f9a15ea13d5b5790b034f372c4f76b186d4912cc78933c81bf9ad2f3d385,da109b65fcac2d5b3c8c869a1ff353cde42a9af34544b1cb296596acfe97e51f,3,3,True,True,21,7988,fc97b114c88ce030c6ab0df6769d3bbf2766a0598af866295edd235bef5e874a,805ad43492cc8705757e56166e79a8f8176ba0968a077b088ae8b3cad7256b14,True,True,42,15914,9833109f253ba38fc745726b455c3498ee14563506af2516b1792f801985aa17,805ad43492cc8705757e56166e79a8f8176ba0968a077b088ae8b3cad7256b14,True,True,85,31943,b7df9725712e41a47e54e1a3c5083db898bb4f6b28dff589b495234fcfbc3c7f,805ad43492cc8705757e56166e79a8f8176ba0968a077b088ae8b3cad7256b14,23,23,False,False,21,7962,d20c1f5cb0b0eb42dd184c7f6f3916a54f234ca428e63b86f0958cbff29b9f1a,76aae20f8aefe8c44c670dfdd4b20adfe00b00749a0af7edfdd15389f33a4fd1,True,True,41,15995,45a0331e2ac7d37247aac86fcde4eda72fa59d3a0c9eb7a117528e9e69b1fce4,76aae20f8aefe8c44c670dfdd4b20adfe00b00749a0af7edfdd15389f33a4fd1,True,True,89,31970,8fc210ff987ec576df8bfbf30a545b3e36a342c2ca8f97414903d4c97d2ce8bc,76aae20f8aefe8c44c670dfdd4b20adfe00b00749a0af7edfdd15389f33a4fd1
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,9bfeb507fdcb02c41f4e684845b8ee97b9eb159a84cf7dfa2c16f4f935e939fc,conv-41,1,2,targeted,paraphrase,True,1,1,1,True,True,23,7974,5684cb90427d7b90132d467fffb086d7b1f20872b75ff1b30037f5b9fd201389,6f3b1311e820b69c694e96eef8f90c3044c50160347a0b8ebaace0048bfad4f9,True,True,45,15958,75196fb7663d95d8b7ed34d35ba0b38f843539736a43b1297792846a2a17ea57,6f3b1311e820b69c694e96eef8f90c3044c50160347a0b8ebaace0048bfad4f9,True,True,95,31949,c6c660f919ac84b93c6f6d5cd0b9d09c5dff0cf53505f3f19c51d853faef9b9f,6f3b1311e820b69c694e96eef8f90c3044c50160347a0b8ebaace0048bfad4f9,15,15,True,True,24,7970,be59110bc3b6c60933c30dcd8dce9fec0b62309f71f53798cfd7fbfdb66a7903,1abf34097c550eb8cd36ba42013444fec52a366dbff09f7f195bae8378372aee,True,True,48,15924,3e0e31aeab830f53ce5ba7430ea3b341971f524a8a183c4a4de62ce8fbde168e,1abf34097c550eb8cd36ba42013444fec52a366dbff09f7f195bae8378372aee,True,True,98,31953,75c5ae0a4da0949fc076e7e1dc0583e09c8871af60e8241b3bae88365f150ce9,1abf34097c550eb8cd36ba42013444fec52a366dbff09f7f195bae8378372aee,3,3,True,True,22,7983,6bd2e26a4ee7555cc50df336ac6179cb8e44856ef700d94a8c61c35bbb738db6,3520a3bd25b02bfaa952a90470a2657c8f26da7c5f4fc418469fa94a720729e9,True,True,47,15927,190b926db98ccb11b2d4d90bab5519bac0e2ae1228ff3d64fdf6311acf5e1c62,3520a3bd25b02bfaa952a90470a2657c8f26da7c5f4fc418469fa94a720729e9,True,True,97,31891,8a03d45d24fa647c043dcfddcad7dfa835fb1e1fc0094f0814e675a5efe9efef,3520a3bd25b02bfaa952a90470a2657c8f26da7c5f4fc418469fa94a720729e9
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,f26a4a49f036b0038b1bf1592cb3e7ded29c57e234bff734000460357610d250,conv-41,2,1,other,paraphrase,True,2,2,10,True,True,25,7966,4c939dc8bbfdd91ca1de150533767d339c0f2cd9ed6a5db9495a9d49fad4d6e5,569dd1743f23150e0dc6f5384bd42eb411b2cbf0cff9faaeee60f4474d878b1b,True,True,49,15937,bde648c478aa6068e2271ee58b99e821cb6cf8605a1d7f481277fe1ad10f93eb,569dd1743f23150e0dc6f5384bd42eb411b2cbf0cff9faaeee60f4474d878b1b,True,True,102,31996,8c623eb015f39d17af490c6d98d6cf947bdab4096b5b78220bee05d901f71402,569dd1743f23150e0dc6f5384bd42eb411b2cbf0cff9faaeee60f4474d878b1b,168,284,False,False,21,7963,f84100f1dd3d4cbbad7623f89e7261870c98fc488c740dd50d4c7fa80a8ef835,d79a415ae3573a7460321a855fa511bb78f0a975bce2f4bc52153374467f7802,False,False,44,15993,1f0c4acf66bcf48a436c598014b4f7bc18eb59f1c9e0b50889f7f0196e7a1fca,d79a415ae3573a7460321a855fa511bb78f0a975bce2f4bc52153374467f7802,False,False,86,31945,53ac2b409ed6b0dbd851e8db1627cbd049f3e81084eff2e96c948f989cf406fe,d79a415ae3573a7460321a855fa511bb78f0a975bce2f4bc52153374467f7802,28,29,False,False,25,7902,5a60f25e55b4853acd6b6e60efd97267143eb2487fd38042447794d988f963fc,75ac5b1a0033582b7cec1145e2f7493b2bb9ef25ee53d856c2f84d0e2cb6b399,True,True,48,15919,3ca2575b6ffa127bc0e32fea0df3d2709b9f7185106efb89d1239fecd30acd39,75ac5b1a0033582b7cec1145e2f7493b2bb9ef25ee53d856c2f84d0e2cb6b399,True,True,96,31918,0b98af77c09c4d7768256a3c1360b94545dcad76cab1e715cdf2febf8f4dfc31,75ac5b1a0033582b7cec1145e2f7493b2bb9ef25ee53d856c2f84d0e2cb6b399
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,e528bd942852f555b7496e96b08314df2a1ba1e92cfd130f185140d093043899,conv-41,3,1,other,paraphrase,True,2,18,29,False,True,21,7900,d3f3652153691c3030b08405b7bb0e772ec016870d298b66c22a36fc1ba3c3fa,d9eb5070e304857e317ad1c5e294f274459bf3a41771db7eb7ff87d6cb7f5e78,True,True,44,15933,c602f620aee7e89a75490e98a8f76fd507bb9011488a467e87dd7be6c240cbcb,d9eb5070e304857e317ad1c5e294f274459bf3a41771db7eb7ff87d6cb7f5e78,True,True,95,31991,f5186a86265a5f0ef55bb33f0f77917eb95ecc8c69c3d4d91f7bd366ed573f1a,d9eb5070e304857e317ad1c5e294f274459bf3a41771db7eb7ff87d6cb7f5e78,186,326,False,False,21,7978,4511d3ad96724b324419362957f330179fc5083f0e2459f785c70f5bbba15356,3b7eb3c39cc09b417a5f6db0656c8b58119d82d1dadf05f0912096977cc04048,False,False,42,15978,8d3a16be5c4daab3ea2bacc89ff6e769a0924aa0769febd916d6702891486345,3b7eb3c39cc09b417a5f6db0656c8b58119d82d1dadf05f0912096977cc04048,False,False,84,31980,6df7ac2d5217e2a6a2bb967c22404e4f62263875b98dd3ee56c60014bb16ca8b,3b7eb3c39cc09b417a5f6db0656c8b58119d82d1dadf05f0912096977cc04048,59,63,False,False,21,7961,cea8c45db31635cef95f3bcb5606fcee60d76d2f4e43476b2a732b4e56e022e8,078c0f3cd8fe1d2a0883874457d6c0d534d287a04b516ab8b016ac1b4f7c1336,False,False,43,15958,958a464a19375d5fc382da317b37e9ea831ed994ba04ce0000dedeb70f3933ad,078c0f3cd8fe1d2a0883874457d6c0d534d287a04b516ab8b016ac1b4f7c1336,True,True,85,31953,2053dcba02e0144dc3317c2eced80204dbcbb269f07a483d3936af1de2c6e1f5,078c0f3cd8fe1d2a0883874457d6c0d534d287a04b516ab8b016ac1b4f7c1336
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,8c87ac019eb499d4a2249fb7e87b7ef7273c8eb25b6392e523dab4f31da58e55,conv-41,4,2,targeted,paraphrase,True,1,1,1,True,True,25,7938,d4702c5b17564bc941d5614f076b5c5aafc77124dcfc88c7eb06ec4746fbd15a,d21f5f5f10b7cf3e5ebf5c94cd9998228829741e81642db35f616810de127695,True,True,49,15940,103c5b50edb2fe49312f13ccd432d9a22dcdfadfdbb5b61ada07965216a784c7,d21f5f5f10b7cf3e5ebf5c94cd9998228829741e81642db35f616810de127695,True,True,93,31934,ed486b56ca758a9a2cebef15c2a51a77da43f495942bdc48822c1c65d0ceb234,d21f5f5f10b7cf3e5ebf5c94cd9998228829741e81642db35f616810de127695,2,2,True,True,22,7979,79774c9727f30ec8f2dd8e2731d706b0f81ba633ce438be0b4913e16cb84aa72,6d98e3c3498b10817e87f57756cf58276491c8d5cf2d1c483be7d9cfacf94bb1,True,True,43,15957,de64d57f22204b151bb683f4ad5fa3a4b23220fc6739b69df91cc3bdc3bba79c,6d98e3c3498b10817e87f57756cf58276491c8d5cf2d1c483be7d9cfacf94bb1,True,True,89,31957,025c735fdde7e2e09dcf69a99f643689277d82ddf125a378f9ae91defd867364,6d98e3c3498b10817e87f57756cf58276491c8d5cf2d1c483be7d9cfacf94bb1,1,1,True,True,22,7998,a97065c0606ca62754a944151517e50f8d933152c20544f19e899b3fec1d3c24,010b1c2db5194543ac0afd76f3f6fe56c6b5810b5e5da4ed8f58581fdd01ab78,True,True,45,15959,f4979a10653f35d835444264edad5d6c40595034e944eca3c8680e0e2d3c0a99,010b1c2db5194543ac0afd76f3f6fe56c6b5810b5e5da4ed8f58581fdd01ab78,True,True,94,31961,241bcdbe70158852595bbe479b133999a888c528e3eb98246eaf74078c81040c,010b1c2db5194543ac0afd76f3f6fe56c6b5810b5e5da4ed8f58581fdd01ab78
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,f76f3b2963897893929a2a1d9ade2430e9ef0b9007be33bbadd2ea59767e5dba,conv-41,5,2,targeted,paraphrase,True,1,76,76,False,False,23,7935,f0edd2b3f711b1b937082011d467604518a4dfec771a35378e9029222ec5e5f9,dbb472644c6ae9e1832ac43119518ad363df17989e46f10635e76219b3ab0dd0,False,False,46,15974,b19affe045f98a86ec235f498f642ab435c90b108d10f506e34bf2bf603d74fa,dbb472644c6ae9e1832ac43119518ad363df17989e46f10635e76219b3ab0dd0,True,True,98,31869,0a5ad52be4dc3fb9f0ad625fa0a2ad3099549330b591741dabbe6dd1f461ad16,dbb472644c6ae9e1832ac43119518ad363df17989e46f10635e76219b3ab0dd0,10,10,True,True,25,7962,3515e57f2b99e0254c2ddc8aa0fdddf16263e7216022c9d681f2bb7d69427b55,2515fd4d7b1d1c8a2a80cba18ddcdcdb797603acbae403567b7c9f464f255067,True,True,47,15982,687f23b4868ea3c3e0ee9a2d511d04214e8c1bec0150562d5d8ea3cca85aa46f,2515fd4d7b1d1c8a2a80cba18ddcdcdb797603acbae403567b7c9f464f255067,True,True,87,31926,431ebfd0d3c7d8a3749465efa2731751ed799b9be6f762f837d3c7b9be164775,2515fd4d7b1d1c8a2a80cba18ddcdcdb797603acbae403567b7c9f464f255067,13,13,True,True,23,7960,43f9e41708ac217f7d945e9b90f3bee49db99bdbf6e5984b2ebedf6b5184ef65,5e07068e944f2b5ab8d4784df0c057b75dfd30aff852c5760b48efe242687d41,True,True,47,15994,7f10e6a302a6000adb84d0b24479a8789b279a3b7a82754ba1c37271b281d4b6,5e07068e944f2b5ab8d4784df0c057b75dfd30aff852c5760b48efe242687d41,True,True,91,31971,6845006d97d44555764cd963841cacce37dd377bae2e98d20e85c89d02027ca4,5e07068e944f2b5ab8d4784df0c057b75dfd30aff852c5760b48efe242687d41
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,2095837b21de36d61d053619ecf9db839be122449ac1064734d644bfe4ec3073,conv-41,6,1,breadth,paraphrase,True,4,4,84,False,True,24,7971,0820393177d61577179da389ec45528f479405254307f479726070e803e03c90,adbcf7964628359fa8c5743a3fe1aaca7e23af2dcd32ae27fbeff76e271e3afb,False,True,49,15900,667679dafddee5bd85787d36750866b3d7e13260807874e23cb9293ac3c0de37,adbcf7964628359fa8c5743a3fe1aaca7e23af2dcd32ae27fbeff76e271e3afb,True,True,99,31919,0787176abca3c4f764e60a7627afd0cf896a3023b8f67347c67e1dd5226c81e2,adbcf7964628359fa8c5743a3fe1aaca7e23af2dcd32ae27fbeff76e271e3afb,32,240,False,False,22,7996,85e0660cd182e57563ef5c54cffce9fae0dd6482419f2a015b5494fb55c15f53,e4760a81b94b63738e1d9670ded7edf9a3a191842f246e8f34101b4655eb79c7,False,True,43,15998,d4543972d1d5ded37af09f07ffc04a24843ffeef4337c0f5de883f2cfffe4c9c,e4760a81b94b63738e1d9670ded7edf9a3a191842f246e8f34101b4655eb79c7,False,True,83,31919,47bbfde54d7adec30cd8438bbf6c7bee0f91207bf44cb46095d142438e7e848f,e4760a81b94b63738e1d9670ded7edf9a3a191842f246e8f34101b4655eb79c7,9,145,False,True,22,7907,139e1df5a7e3bd03ec3f06b1daaa5ec8f397fb62c9c5f9aa344da3c277bfaa37,c7359e0a83e9696a54b7a10ef9d5ee2c96a4e2f2196f4c4b208170e6118150f1,False,True,46,15973,5bfb6ccc08823fec88f1f6d409627bc29a5262fe8803d48d8f6967baa633e01a,c7359e0a83e9696a54b7a10ef9d5ee2c96a4e2f2196f4c4b208170e6118150f1,False,True,95,31973,7de382ad1d52a058699c57150061f8bf4eaf1c869a1e58e44cef8907f91f6357,c7359e0a83e9696a54b7a10ef9d5ee2c96a4e2f2196f4c4b208170e6118150f1
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,3e2817ee1f0616b02b1684d5c4bfb8b31990aa5604ece9cd4568827df0a0cdd9,conv-41,7,1,other,paraphrase,True,2,13,42,False,True,28,7999,f063be8641ce0093016e57df1328ea40e04a35f1e672322ba62d3529b5046f50,e113da80a81c0d5fb7a49bb56172a10550c05d6da46c78306a2b94c86b85be97,True,True,56,15978,6595fab361e7985e4028fb0c1b2ea9d0aa04f9e422e79113da9d3ab2f4360024,e113da80a81c0d5fb7a49bb56172a10550c05d6da46c78306a2b94c86b85be97,True,True,108,31898,ce932eaae014a9372e694fcfc8e8eecb355d1ba1b8baaf9312a0c4d86907c569,e113da80a81c0d5fb7a49bb56172a10550c05d6da46c78306a2b94c86b85be97,15,194,False,True,22,7945,53c7b1192b2f408906cea922977a28ff6a181a29701a031021c17c9b26f41be7,cb95728fdc4f52612872029ba3769f00d6a12f9aed3c1e96747767385f2f2600,False,True,43,15921,f64f92f92eb890237d14ecba2923aab4bf7f3c9bb08a403aba076f4444091e2b,cb95728fdc4f52612872029ba3769f00d6a12f9aed3c1e96747767385f2f2600,False,True,89,31898,0630dbb6f06bd59da2e43fcd799812d4b68aaf60f50d2182279687c8f1bf6077,cb95728fdc4f52612872029ba3769f00d6a12f9aed3c1e96747767385f2f2600,2,82,False,True,25,7955,bee4fb629e1c8fa0c529ddcdbaab2e8d7cc47d75a54f7e704a1305c622b015a9,e61f866d204de101a4b270282722dc372b83bdea0805a3b93bc38e4e27ae82cc,False,True,49,15947,d09e88a3b492c8dba091514a8089619f28ad1b13ee80f4ddd5e38c0272d34275,e61f866d204de101a4b270282722dc372b83bdea0805a3b93bc38e4e27ae82cc,True,True,97,31894,17cdf75875a4dad70e5bc34e9cee6a9214b93c083dbaca8da248dd1d631f4afa,e61f866d204de101a4b270282722dc372b83bdea0805a3b93bc38e4e27ae82cc
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,e3e660dc224f7a8c67928a697d7efdbda941a7fd194ff57d73b9f368cb21d7ec,conv-41,8,3,targeted,paraphrase,True,1,254,254,False,False,27,7963,6e7b6b3e7ca4ee072afc102c601c73f8978a3d596f570194ace509c40385999b,63a4bb32d4047422fb0cd57dec0093180a3c1edcad4a558077f269cd2b4b7e59,False,False,52,15967,e0d84b7edc30512818aa1ca66265a5a01c827fb5d484c3d6287d9fc411808165,63a4bb32d4047422fb0cd57dec0093180a3c1edcad4a558077f269cd2b4b7e59,False,False,101,31973,6e9bfe63377211f2d02cf1e01f3766a6f8d24de3cbc31b211c6e032ecb32f9c6,63a4bb32d4047422fb0cd57dec0093180a3c1edcad4a558077f269cd2b4b7e59,158,158,False,False,25,7987,298daf504bee19339b818ca32882c8d663e81ef63fb33a40a023aa805c56e209,463451fff888925cf253089c7a956739a637375cd4fdd99b87f364f141ba6f70,False,False,53,15917,c180850803c204110c9fa2c233011dd98240acafbc24a7194143340be5dc2ae5,463451fff888925cf253089c7a956739a637375cd4fdd99b87f364f141ba6f70,False,False,96,31954,e6424fc03b3f5c728c3380a1310b0326aea073c2224a9c53e06e1512f1f0f29d,463451fff888925cf253089c7a956739a637375cd4fdd99b87f364f141ba6f70,245,245,False,False,26,7937,e6ea43c5d841fc5ea39e153fd027ff843c6a2d4a20cb149ddb2bbb55760e6607,ef770876f049fa8b4e9ebfeaac6959a61eafe105c06815ee28bfcaebba19d8bb,False,False,49,15990,53edfe8536503e52fc02048e654b22c3d2905c5827718df913be05504b386e01,ef770876f049fa8b4e9ebfeaac6959a61eafe105c06815ee28bfcaebba19d8bb,False,False,101,31993,4581146572dbaa41dac32772b68304b9dbdf397c5e950044d1887d42b55b621a,ef770876f049fa8b4e9ebfeaac6959a61eafe105c06815ee28bfcaebba19d8bb
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,6c81924222f1af9208fafb0b91b7ccc3288849a49055a10385a9fb141ca21046,conv-41,9,1,other,paraphrase,True,2,1,5,True,True,21,7962,5187ffe8ba7147833f194568e4b76561af53c54b1412f2e63f454c3f6e3ec16e,63309bdb12d99765397b5b7b6d1a0dddac00c963810321969a14927414212f28,True,True,43,15940,5a42a2d2d51e6511c796679f3e579826c7c0592ca6f1ba14b39704f293e7c677,63309bdb12d99765397b5b7b6d1a0dddac00c963810321969a14927414212f28,True,True,91,31926,b39376a2ffbc7d2d8e2bd0d96700e61c965a9020ed4d1d7ac923c13ceec48416,63309bdb12d99765397b5b7b6d1a0dddac00c963810321969a14927414212f28,2,25,False,True,20,7985,2b12b40f9871708ec2f84a28dcc15c23f2700230fe81f9901048eaa4093d1250,fb78ec87e32dc841c1b482c2334522e2802807019aef87cba99453589f617311,True,True,43,15986,3b74cfdcd7512ae96ab13968a3d3d5ad44cfa9a878efbdcea63a689c86de7f56,fb78ec87e32dc841c1b482c2334522e2802807019aef87cba99453589f617311,True,True,84,31949,38b550c1672951151d5d5c95974dbb0dcca4a1798d05b3ddf79079083b2873eb,fb78ec87e32dc841c1b482c2334522e2802807019aef87cba99453589f617311,1,8,True,True,21,7992,c97130dfcf8e9e531174d409586f8f62f30150288088cce428617f7952414f22,2f4f610cbdcbebf03fc1a1f7262d9775806ed2ac970f4aa50406e355e9967390,True,True,41,15992,316b8766835a611b86cb0fdef137aff10b1ae45595c64227be24660785ea7e47,2f4f610cbdcbebf03fc1a1f7262d9775806ed2ac970f4aa50406e355e9967390,True,True,86,31960,8d02243c4d503b82b185932ac5d7acdcc7b0109e988a4d84682e30233539ff1b,2f4f610cbdcbebf03fc1a1f7262d9775806ed2ac970f4aa50406e355e9967390
