query_id,query_class,required_domains,arm,fact_id,candidate_available,packed_available,candidate_match_sha256,packed_match_sha256
h121_l01,lookup,"[""structural""]",C0,f121_structural_service_life,True,True,"[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]","[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]"
h121_l01,lookup,"[""structural""]",T1,f121_structural_service_life,True,True,"[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]","[""85f710b84cffbe12b32ca4e4deda071921f4f703f093f6cf84eefb3359a409c3""]"
h121_l02,lookup,"[""structural""]",C0,f121_structural_spherical_bearings,False,False,[],[]
h121_l02,lookup,"[""structural""]",T1,f121_structural_spherical_bearings,False,False,[],[]
h121_l03,lookup,"[""structural""]",C0,f121_structural_dehumidification,True,True,"[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]","[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]"
h121_l03,lookup,"[""structural""]",T1,f121_structural_dehumidification,True,True,"[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]","[""d780a17bfcd1cf60a0287df4fed87a94b0439e10f97e0f045b78a62020a45905""]"
h121_l04,lookup,"[""art""]",C0,f121_art_lapis_ultramarine,True,True,"[""91931cd01b942d1684af41a4a7d67c0472db018f1fb9a50a7113284f53c8e37f""]","[""91931cd01b942d1684af41a4a7d67c0472db018f1fb9a50a7113284f53c8e37f""]"
h121_l04,lookup,"[""art""]",T1,f121_art_lapis_ultramarine,True,False,"[""91931cd01b942d1684af41a4a7d67c0472db018f1fb9a50a7113284f53c8e37f""]",[]
h121_l05,lookup,"[""art""]",C0,f121_art_intonaco,True,True,"[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]","[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]"
h121_l05,lookup,"[""art""]",T1,f121_art_intonaco,True,True,"[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]","[""f037a1c81005d7b2359952fecdbcf5db47c3b0f9929129efa4792c0f294e4dc9""]"
