item_id,study,arm_id,arm,question,original,corrected,strict,delta,basis,layer1_flags,triggers
s001_iterative_q1,1,s001_iterative,iterative,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s001_iterative_q2,1,s001_iterative,iterative,Q2,1.0,1.0,1.0,0.0,ai_consensus,,
s001_iterative_q3,1,s001_iterative,iterative,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s001_iterative_q4,1,s001_iterative,iterative,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s001_iterative_q5,1,s001_iterative,iterative,Q5,1.0,1.0,1.0,0.0,original_unselected,,
s001_iterative_q6,1,s001_iterative,iterative,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s001_iterative_q7,1,s001_iterative,iterative,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s001_iterative_q8,1,s001_iterative,iterative,Q8,1.0,0.0,0.0,-1.0,conflict_adjudicator,F1;F4,H1;H3
s001_iterative_q9,1,s001_iterative,iterative,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s001_iterative_q10,1,s001_iterative,iterative,Q10,0.0,0.0,0.0,0.0,conflict_adjudicator,,H1;H3
s001_full_context_q1,1,s001_full_context,full_context,Q1,1.0,1.0,1.0,0.0,ai_consensus,,
s001_full_context_q2,1,s001_full_context,full_context,Q2,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q3,1,s001_full_context,full_context,Q3,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q4,1,s001_full_context,full_context,Q4,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q5,1,s001_full_context,full_context,Q5,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q6,1,s001_full_context,full_context,Q6,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q7,1,s001_full_context,full_context,Q7,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q8,1,s001_full_context,full_context,Q8,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q9,1,s001_full_context,full_context,Q9,1.0,1.0,1.0,0.0,original_unselected,,
s001_full_context_q10,1,s001_full_context,full_context,Q10,1.0,1.0,1.0,0.0,original_unselected,,
s001_compaction_q1,1,s001_compaction,compaction,Q1,1.0,1.0,1.0,0.0,original_unselected,,
s001_compaction_q2,1,s001_compaction,compaction,Q2,0.5,0.5,0.5,0.0,ai_consensus,F2,
s001_compaction_q3,1,s001_compaction,compaction,Q3,0.0,0.0,0.0,0.0,original_unselected,,
s001_compaction_q4,1,s001_compaction,compaction,Q4,1.0,0.0,0.0,-1.0,conflict_adjudicator,F1,H1
s001_compaction_q5,1,s001_compaction,compaction,Q5,0.0,0.0,0.0,0.0,ai_consensus,,
s001_compaction_q6,1,s001_compaction,compaction,Q6,0.0,0.0,0.0,0.0,original_unselected,,
