query_id,query_class,required_domains,required_fact_ids,C0,T1,packed_recall_delta,direction
h121_l01,lookup,"[""structural""]","[""f121_structural_service_life""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""ba9e7292af97f08fa404440e85968ab7d696ec832275db1b308ce6dc3262b6fd"",""delivered_chars"":28967,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""e16ee85f46128e57aeb42ec3f518889139732ef3739d8a52048dbe7150b60add"",""required_facts"":1,""selected_count"":13,""selected_sha256"":""63933795145f0f7dc07f217bc5372878cdf26f9e9721d50c81aefad548ef27b3""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""e21e09bcbafaa21d90c138a93faff07e6cf21c8195ea22f5d3a4f76461e64567"",""delivered_chars"":29469,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""65f03b7f38fb6a941995cacd04457922f746204dbe62191831dd0224defc677c"",""required_facts"":1,""selected_count"":13,""selected_sha256"":""98d8206a0b653cebc45355648f97d2d64cbb04539cac9760479d2500e7e92625""}",0.0,TIE
h121_l02,lookup,"[""structural""]","[""f121_structural_spherical_bearings""]","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""6b1dedba6452d88c85e5199ec9443a0a0367e3bbb24354df2f45fc5a5b5de17c"",""delivered_chars"":31475,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""5b1fa30b2e215e5b15b96cb04fb5c4bb7320d6107748f47570a411eac6bb822f"",""required_facts"":1,""selected_count"":13,""selected_sha256"":""16f5facb7ff5c69c00da9259aa789550c0bdf1a7a05643c54d35e4e6ac8a90a7""}","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""385a02428e50ce0fbbaaab4d6baabc42fae0733973c803dd0d0a521a3d6aff60"",""delivered_chars"":31779,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""e5dfa71b0fcebf4ba21406bc15a4580687982f91b4889a78ad916cc887d7b8e2"",""required_facts"":1,""selected_count"":13,""selected_sha256"":""cbb0db0c8b6547cc0ec445e045d11ad8aade197193d9f4e9a7cd176d9ba4a28c""}",0.0,TIE
h121_l03,lookup,"[""structural""]","[""f121_structural_dehumidification""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""c000d351cb954577eb427576071197672505a80bf527c134ef0718a4588c5907"",""delivered_chars"":31902,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""7a58755742a714e025f5e2268f2c1c1d03d4f0033b50155adaab12b3a429d938"",""required_facts"":1,""selected_count"":13,""selected_sha256"":""e78443818c706358c39ff8273068d1e0b50f2876a2632963f616758433cdaa35""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""ecc2f3a8bf65dce5c7880843f065ec370661d8a004be9702532f56d3520dd0ca"",""delivered_chars"":30522,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""e9932c3ec458ee50427043b4b541c4fbac77d7ec26cf22a4047b225088af8ee2"",""required_facts"":1,""selected_count"":13,""selected_sha256"":""33be513d12f2ab245c20d844731b1da53f2f7f3b05daa5de544425b5f7319fdf""}",0.0,TIE
h121_l04,lookup,"[""art""]","[""f121_art_lapis_ultramarine""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""505f77b8fac728101f07d322fc19f69335c32d220f59a835df9e93d82776f4da"",""delivered_chars"":31864,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""c06612acab7722f4f2ed32d3dce292e384d96c447d403bba3f1a79b65a9abb16"",""required_facts"":1,""selected_count"":9,""selected_sha256"":""93cc804c847b29cbce5174d4003b2c6cf6f731e5d4875ec4f2dc5f29a7579d9a""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""7b5d84ccbafbc41e6706455769b1b51e50c2115f1502f204579a74341a7a5030"",""delivered_chars"":31683,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""70138c9694281ad623e0114812267c909d88695f42e0e0506f9c5e660bda4195"",""required_facts"":1,""selected_count"":11,""selected_sha256"":""6925dcd752939b965d087fda0d16d62fd47db99ccab121e25d3e2b2fc6e70ca7""}",-1.0,LOSS
h121_l05,lookup,"[""art""]","[""f121_art_intonaco""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""c8fbe6fcfd35411a9e11db52fbffc027d24a13e3b5a62d7ce2de2d3a765644fb"",""delivered_chars"":30507,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""b38e7579d60990ec6855a3e5f5db61636b3c027092cda8eeb587829a3d415172"",""required_facts"":1,""selected_count"":8,""selected_sha256"":""cb6ee08321f29da1ecf0e22e2755ce44ced94880201bb28012175c2b2ca150f7""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""8ae1bbd615842c01f64124695e8f372918f67c0db629d22488ba251a0fc92400"",""delivered_chars"":28569,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""4eded5287c86552ada631b228809f79bfdb731d0735b74c684da89ac3dc2a38b"",""required_facts"":1,""selected_count"":8,""selected_sha256"":""81b82fc3045c7bcd9df12553ce3f31eddd96ab9f43e1bac9c2c31ee7914d454c""}",0.0,TIE
h121_l06,lookup,"[""art""]","[""f121_art_infrared_reflectography""]","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""197d0268543705923f85c30f20e88484e236b3c324181ab75768c4c9b75268a7"",""delivered_chars"":31916,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""039815787650482ae7a6bb9da89a539caa0182ffc7d400afd0fd4fc912b71326"",""required_facts"":1,""selected_count"":9,""selected_sha256"":""35c4760fb6b6b78afc07af80ed36ed7bc4441b6115c4879134c11ac633757a72""}","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""a20a38332b62ee63d65a4ebdf8d990a1a5b7040adf4ae50748c26fe5a6e7be68"",""delivered_chars"":30498,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""aa1155caba795e4e9bbde2e1383781d5db001c40995bf0d02be9aaf340c70f92"",""required_facts"":1,""selected_count"":7,""selected_sha256"":""1385815d19ae1f4b3d7f28621bdb4bebc8fcafd1066ecdcb78af1f6e110c3bb2""}",0.0,TIE
h121_l07,lookup,"[""monetary""]","[""f121_monetary_gfc_2008""]","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""584c9150482433774e92c14dd0b7a675cdc120d762d6b6f8b67a5d959450dd4b"",""delivered_chars"":30388,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""0641fa4d26c32bb3245b15ad0dcc48c005c0d2deca36c4423314f30a77413710"",""required_facts"":1,""selected_count"":8,""selected_sha256"":""7d428dd82ff2590fe82c2b6457d349e19e673f2cb3ea76bc26a442b888413882""}","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""037f3272564ab0a5ba23a6d666af57079063a2119f46d672ce2db9a9c0140458"",""delivered_chars"":31015,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""e32a6eb7a8c2e07dfb92724f8739e8f4a69e48d4b23fb5e5366b58696f41fba5"",""required_facts"":1,""selected_count"":8,""selected_sha256"":""77e478494ed0614205804e63a787b9a2fb80ff957f25ecf3cd6259eba2696080""}",0.0,TIE
h121_l08,lookup,"[""monetary""]","[""f121_monetary_near_zero""]","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""47c5f7a0da10c33ee541c6e1291e5a1f4e1864c892d2c6d8a7c40d8211f1f4fd"",""delivered_chars"":29648,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""48f544cb540d3075bfade2ac1618e0679f394754d3de13ee3e77f7b8b1dc7fed"",""required_facts"":1,""selected_count"":6,""selected_sha256"":""08654c8975487a3c326fba9611ad7752d6e170748a01c890f0b6a4168a946d25""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""5f8ac19a03d0f5b3860a41e5b6648c4b43e74a7c4c8646af89a52ac1b95144d0"",""delivered_chars"":31680,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""410d567da7e1b22dae55258ba97584d3b14eff3de6c16660cafd90d6d9155b78"",""required_facts"":1,""selected_count"":7,""selected_sha256"":""29a5852e012847d4b94b72b75061d24acf13eef9380f5c8d943fc5a6ea145db0""}",0.0,TIE
h121_l09,lookup,"[""monetary""]","[""f121_monetary_great_moderation""]","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""c630eb4ca5773ffd5c136f0ada6c6fd9b498c96742fdd7db9142f5d14322e61e"",""delivered_chars"":31852,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""86454c2fec3b5234046b7f784dbbf8e8890a8d1f78da002759a3be5bef39b221"",""required_facts"":1,""selected_count"":7,""selected_sha256"":""f75617325c50e5eddeac7e50103fac950a211450ef15dcf0bccc1975df4cb22e""}","{""candidate_count"":15,""candidate_facts"":1,""candidate_recall"":1.0,""candidate_sha256"":""6a932f2af5ce26294b8c2d2ddb8d3b40fdad55c8adbda8dfddb062e68585ffa2"",""delivered_chars"":29127,""packed_facts"":1,""packed_recall"":1.0,""payload_sha256"":""494425ac4d18382e98cdf620429701dceab3717dd6cfded07a1103bec569ea0d"",""required_facts"":1,""selected_count"":6,""selected_sha256"":""b6e503d64df13feeb2661993ccf2076f1a72610ccc67bdf4fd699863fbe3cf9a""}",0.0,TIE
h121_l10,lookup,"[""marine""]","[""f121_marine_zones""]","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""655bac3a061c0809d3f7054624b5d5807c699ffe435c60e0036b959f19506ab3"",""delivered_chars"":31807,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""af0389a243c8adb662d4c38f4274ec4d19cc833b3ce623ad5afe1e021da5fbbe"",""required_facts"":1,""selected_count"":9,""selected_sha256"":""dbe6010eb51d8861a501eb6c929f87ed79b2a9f927789c2aac1750ced4ef81fa""}","{""candidate_count"":15,""candidate_facts"":0,""candidate_recall"":0.0,""candidate_sha256"":""cdeefabf5d879e7e93571342fe768e3f617917bc41eb41f7b637adaa317efea9"",""delivered_chars"":31770,""packed_facts"":0,""packed_recall"":0.0,""payload_sha256"":""8293ac900e9edca8724775b56e63a7b5b5e4c2f9b3ca4ab49dcd04d7658fa068"",""required_facts"":1,""selected_count"":9,""selected_sha256"":""0712eb87d24786fd76f816a1f5e36e7d97caa068fea2d859b867e4b3a34e5761""}",0.0,TIE
