question_id,sample_id,source_index,population,cc80_16000_evidence,cc80_16000_complete,cc80_32000_evidence,cc80_32000_complete,aspect_static_16000_evidence,aspect_static_16000_complete,aspect_static_32000_evidence,aspect_static_32000_complete,dynamic_prompt_16000_evidence,dynamic_prompt_16000_complete,dynamic_prompt_32000_evidence,dynamic_prompt_32000_complete,residual_aspect_16000_evidence,residual_aspect_16000_complete,residual_aspect_32000_evidence,residual_aspect_32000_complete
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,conv-41,0,targeted,0,False,1,True,0,False,1,True,0,False,1,True,0,False,1,True
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,conv-41,1,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,conv-41,2,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,3,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,conv-41,4,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,conv-41,5,targeted,1,True,1,True,0,False,1,True,0,False,1,True,0,False,1,True
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,breadth,3,False,3,False,4,True,4,True,3,False,4,True,4,True,4,True
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,conv-41,7,other,1,False,2,True,1,False,2,True,1,False,1,False,1,False,1,False
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,conv-41,8,targeted,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,conv-41,9,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
ada2a7fd1f38dfadd6d076b8948d8f798e4598ce2cbe02221a32b37af3cd7e79,conv-41,10,targeted,1,True,1,True,0,False,1,True,0,False,1,True,0,False,1,True
d28bb65d4e094f52445fc730231dc68f37035b4fc9b9e3385f6efa7275744efc,conv-41,11,breadth,1,False,1,False,2,False,3,False,1,False,2,False,2,False,3,False
75f30b93fb3bbac1e1de7fb1b06546578b4f93f47ac8e9486ab016fcfa7951c5,conv-41,12,other,1,False,2,True,2,True,2,True,1,False,1,False,2,True,2,True
714abed9c5552df1a31661a57382863fa09c65b44e7a6aa98821bd86dcedf176,conv-41,13,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
6ddead46f2e3f732161f7599e1e00e98b45f1fd9c5cf00b6dfc48303ced391d1,conv-41,14,other,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
0f04797f3f9a63e1500e2cd1de89cc856bcdd79ae6810f1d3ede536dc11e9105,conv-41,15,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
97606a4096fa4ad9c5b3c8ef0aa86a4601e7cbc88b83892857a996c7d2ce8e36,conv-41,16,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
6c7d20b33db076d64a3b02c3a3374170f6adb0b03975d00a3941b2d314bf9b4b,conv-41,17,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
8996322a617d673c38966e19f5709b82732f2323224d4abeebc1d969359de3af,conv-41,18,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
bb66fff02fa85e5036144b7f929aa823f7ba9a8e8d116829306710ee1870496a,conv-41,19,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
9bec05e11003c1d8b835d64804d0520b5bba6d7d6f7f7643dc3d31a70844b7fb,conv-41,20,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
8c561bbaa9f46bef0528ee6e48edfd9e83bbc2ee19eb7644e2dda196f2188ef6,conv-41,21,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
ed0317028cb6b2a34fbf1078c280bf61740133cba018028c2cb1ac0a1e4c6c20,conv-41,22,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
ba47fd791ad22031773f7f79bcea62386893b0814976b70d85be47b7fd552c79,conv-41,23,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
c3c975d4a2c1c5861466968b73713667362225314ada1d2aeebb693134fb0957,conv-41,24,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
4ce72206d70eb2010ed5fae4597ec37dbe0621e80aebe7151c724290bf094855,conv-41,25,other,2,True,2,True,2,True,2,True,1,False,2,True,2,True,2,True
8f9ae358d6e7e92632040ed791454da76fbc27d176b9b7a7a30813a7622c46dd,conv-41,26,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
b775fcf9187bb1dc5eea4a1054905ad24e76b2bfa4a9e7fd83b8cd39592cac01,conv-41,27,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
68dcf7b914ea80c711436fb87c227cd2bd44ec9a17b85697bc313a4c65537cf4,conv-41,28,breadth,3,False,3,False,3,False,4,True,2,False,4,True,3,False,4,True
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,conv-41,29,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,30,breadth,3,True,3,True,3,True,3,True,2,False,3,True,3,True,3,True
3b5dc4d18f50976d41d4ef970a071ab24af511fa02026af72ae1e4a8fe96a605,conv-41,31,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
8a982417a511195efbb0a9fc06208995f8abc361f4b74e525a1a2301c4db6186,conv-41,32,other,1,False,2,True,1,False,1,False,1,False,2,True,1,False,1,False
d60c0443cbb6217ed2896f9380bddb5be55c2cb232285ccdc244b9f929ce01e2,conv-41,33,breadth,3,True,3,True,3,True,3,True,3,True,3,True,3,True,3,True
152edafcfaccb80100fedd9618fb0d8bef7d39157fa916ec7a908ef7c3f6f27f,conv-41,34,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
ad72d579039ea181d479ecb838e1d562952c69ccf832608256f0dcf58a9faf1d,conv-41,35,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
d224277eceff24fcf743cb31d90c2296293719caab166da4fca15b1b3962b2b2,conv-41,36,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
c6d12ae10830d7054f9a8bfa6e109c37a3ce5571ce292916aa16dc6fc2760e2e,conv-41,37,breadth,5,True,5,True,5,True,5,True,5,True,5,True,5,True,5,True
bd7fbfa7f1c6d80208462b78c7b7cdb646ad57a01230e87ac87250554c11fb30,conv-41,38,targeted,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False
1a19d1712aad830025167a7eec6e7bb438396b956346b4f359ac16f12c6e71ae,conv-41,39,targeted,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False
e7351bea6186a9ab85c77ad84bab0c20098b1bb45415dbd676f8e18e16936bff,conv-41,40,other,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
1617c689353d45ffb675cf8997cbb721c375af92eac8f9b6212c13f16c159593,conv-41,41,targeted,0,False,1,True,0,False,0,False,0,False,0,False,0,False,0,False
98c68d28bd72073b8335156b7e0fea200885bbe8eba096ed847f75c5fc1edddb,conv-41,42,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
1b24de20447e3bd6d78d7361f25b869b2b22726f4b1a3f6bfa4115582b59e86e,conv-41,43,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
add82d28e06d3471718bbfd0c7e59110498a92f8e42bbdf957e5a1280f34d7a1,conv-41,44,breadth,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False
c4bf69d7d06891f87c346b585f431847a897b337b49dbe2e45e05f88e593b64e,conv-41,45,other,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
6c16f32fb892ddbc30e3e5634c866df598de30e09a47b7163d028d1bcce553d7,conv-41,46,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,conv-41,47,breadth,4,True,4,True,4,True,4,True,4,True,4,True,4,True,4,True
b332250b285864e5fca8925845e8a2e32c94fe270bdda8840c5d0ecd1e1a6774,conv-41,48,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
181e2696c54db3a37a848421bd61d2caa5046ea51033b3dc68115f51812dcb5c,conv-41,49,other,1,False,2,True,1,False,2,True,1,False,1,False,1,False,2,True
cc0f2b7067af957251ba161477f8e2703d43088d8f999332abd57df111afe014,conv-41,50,breadth,0,False,0,False,0,False,0,False,1,False,1,False,0,False,0,False
fc65d91d1c22d4d789c07a589802bc27dbaf2da242cefb9eaeb5b3628d223273,conv-41,51,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,conv-41,52,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,conv-41,53,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,conv-41,54,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
d4f7248959751b17f2d7d3a760a579c652197af8c0337c2231bf6829d5ea29a5,conv-41,55,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
bc430a52ac972d69552399542570704ba156d837c332e113eecf0f0cecbb0731,conv-41,56,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,57,breadth,4,True,4,True,3,False,4,True,3,False,4,True,3,False,4,True
defbf87718c39d745b8eb64bee56a468d9d6212f5ddd501bb5c38500a608e4ac,conv-41,58,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
28fe48b7a92fe2cf728a6c95ce4218f4c9c892dc3aacc53250bd4f535f3ceb6a,conv-41,59,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
10d4b1e084bca3837b13a70c3d784b125e8306dd3ded7a453208bc5630b61be1,conv-41,60,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
36d93b76113ff436fca2d3dc6000320c5c7c072211eb585790088bf31f8c9eb0,conv-41,61,targeted,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
3f3ebfe03beaa28e909ecbae26e1aefd3ed79d3984c58c83d4feeacc80ac923d,conv-41,62,other,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
