arm,question,turn,item,in_retrieval_payload
T6,Q1,112,847,True
T6,Q1,112,s460ml,True
S,Q1,112,847,True
S,Q1,112,s460ml,True
L,Q1,112,847,True
L,Q1,112,s460ml,True
T6,Q2,113,anara bekova,True
T6,Q2,113,92.4,True
S,Q2,113,anara bekova,True
S,Q2,113,92.4,True
L,Q2,113,anara bekova,True
L,Q2,113,92.4,True
T6,Q4,115,annunciation of forli,False
T6,Q4,115,melozzo da forli,False
T6,Q4,115,giuliano della rovere,False
T6,Q4,115,1483,False
S,Q4,115,annunciation of forli,True
S,Q4,115,melozzo da forli,True
S,Q4,115,giuliano della rovere,True
S,Q4,115,1483,True
L,Q4,115,annunciation of forli,True
L,Q4,115,melozzo da forli,True
L,Q4,115,giuliano della rovere,True
L,Q4,115,1483,True
T6,Q5,116,lead white,False
T6,Q5,116,ultramarine glaze,False
S,Q5,116,lead white,False
S,Q5,116,ultramarine glaze,False
L,Q5,116,lead white,True
L,Q5,116,ultramarine glaze,True
T6,Q6,117,giuliano della rovere,False
T6,Q6,117,pope julius ii,False
S,Q6,117,giuliano della rovere,True
S,Q6,117,pope julius ii,True
L,Q6,117,giuliano della rovere,True
L,Q6,117,pope julius ii,True
T6,Q7,118,vampyroteuthis infernalis,False
T6,Q7,118,kenji watanabe,False
T6,Q7,118,600,False
T6,Q7,118,900,False
T6,Q7,118,marine snow,False
S,Q7,118,vampyroteuthis infernalis,True
S,Q7,118,kenji watanabe,True
S,Q7,118,600,True
S,Q7,118,900,True
S,Q7,118,marine snow,True
L,Q7,118,vampyroteuthis infernalis,True
L,Q7,118,kenji watanabe,True
L,Q7,118,600,True
L,Q7,118,900,True
L,Q7,118,marine snow,True
T6,Q8,119,photophores,False
T6,Q8,119,mantle margin,False
S,Q8,119,photophores,False
S,Q8,119,mantle margin,False
L,Q8,119,photophores,True
L,Q8,119,mantle margin,False
T6,Q10,118,vampyroteuthis infernalis,False
T6,Q10,118,kenji watanabe,False
S,Q10,118,vampyroteuthis infernalis,True
S,Q10,118,kenji watanabe,True
L,Q10,118,vampyroteuthis infernalis,True
L,Q10,118,kenji watanabe,True
