question_id,sample_id,source_index,budget,question,category,population,evidence_id,dense_relation,association,dense_rank,cc80_rank,a3_rank,admission_phase
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,conv-41,0,16000,"Who did Maria have dinner with on May 3, 2023?",2,targeted,b3eed047db0e00026bd60eae556f5318549504e7f8538cf5841c3dde1587145b,TIE_MISS,NOT_APPLICABLE,156,54,158,ABSENT
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,conv-41,0,32000,"Who did Maria have dinner with on May 3, 2023?",2,targeted,b3eed047db0e00026bd60eae556f5318549504e7f8538cf5841c3dde1587145b,TIE_MISS,NOT_APPLICABLE,156,54,158,ABSENT
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,conv-41,1,16000,When did Maria donate her car?,2,targeted,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3,TIE_COMPLETE,NOT_APPLICABLE,1,1,1,INITIAL_RELEVANCE
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,conv-41,1,32000,When did Maria donate her car?,2,targeted,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3,TIE_COMPLETE,NOT_APPLICABLE,1,1,1,INITIAL_RELEVANCE
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,conv-41,2,16000,What martial arts has John done?,1,other,22d0ef8feac2ff8b70ebf50e7ac07a66ecf3215cccbd8153d4ae81d646b7cc30,TIE_COMPLETE,NOT_APPLICABLE,10,17,17,INITIAL_RELEVANCE
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,conv-41,2,16000,What martial arts has John done?,1,other,29fc15d78dffc2908fef8b675032427a1f73a896dcb23179bd12c746c39c80e9,TIE_COMPLETE,NOT_APPLICABLE,2,2,2,INITIAL_RELEVANCE
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,conv-41,2,32000,What martial arts has John done?,1,other,22d0ef8feac2ff8b70ebf50e7ac07a66ecf3215cccbd8153d4ae81d646b7cc30,TIE_COMPLETE,NOT_APPLICABLE,10,17,17,INITIAL_RELEVANCE
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,conv-41,2,32000,What martial arts has John done?,1,other,29fc15d78dffc2908fef8b675032427a1f73a896dcb23179bd12c746c39c80e9,TIE_COMPLETE,NOT_APPLICABLE,2,2,2,INITIAL_RELEVANCE
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,3,16000,What type of volunteering have John and Maria both done?,1,other,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3,TIE_COMPLETE,NOT_APPLICABLE,18,32,23,PROTECTED_SPREAD
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,3,16000,What type of volunteering have John and Maria both done?,1,other,6670dba22c43db2eda64b12d06762a0cf245c8b4a44be18c8016bb994b28f167,TIE_COMPLETE,NOT_APPLICABLE,29,37,33,PROTECTED_SPREAD
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,3,32000,What type of volunteering have John and Maria both done?,1,other,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3,TIE_COMPLETE,NOT_APPLICABLE,18,32,23,INITIAL_RELEVANCE
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,3,32000,What type of volunteering have John and Maria both done?,1,other,6670dba22c43db2eda64b12d06762a0cf245c8b4a44be18c8016bb994b28f167,TIE_COMPLETE,NOT_APPLICABLE,29,37,33,INITIAL_RELEVANCE
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,conv-41,4,16000,When did John join the online support group?,2,targeted,ffcba7be27021bb3502b81231ee30c391f5c1afa52baed98dad53e8f348f90f8,TIE_COMPLETE,NOT_APPLICABLE,1,1,1,INITIAL_RELEVANCE
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,conv-41,4,32000,When did John join the online support group?,2,targeted,ffcba7be27021bb3502b81231ee30c391f5c1afa52baed98dad53e8f348f90f8,TIE_COMPLETE,NOT_APPLICABLE,1,1,1,INITIAL_RELEVANCE
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,conv-41,5,16000,When did Maria go to the beach?,2,targeted,32ffe8a7dedad95eff25c3a44c3f4d4e138b62d6feb299712e9df36a6209d70d,TIE_MISS,NOT_APPLICABLE,76,27,77,ABSENT
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,conv-41,5,32000,When did Maria go to the beach?,2,targeted,32ffe8a7dedad95eff25c3a44c3f4d4e138b62d6feb299712e9df36a6209d70d,TIE_COMPLETE,NOT_APPLICABLE,76,27,77,INITIAL_RELEVANCE
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,16000,Where has Maria made friends?,1,breadth,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3,TIE_MISS,NOT_APPLICABLE,84,100,87,ABSENT
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,16000,Where has Maria made friends?,1,breadth,302bcf455f382dfb8317666b1cf7b9d08310bab660ce3b6e2095580d8c852a3d,TIE_MISS,NOT_APPLICABLE,14,9,21,INITIAL_RELEVANCE
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,16000,Where has Maria made friends?,1,breadth,44e4275f99b17ccde061922abb2c2af5e46c9b412e135c4697ec4f9c0d860d20,TIE_MISS,NOT_APPLICABLE,4,12,4,INITIAL_RELEVANCE
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,16000,Where has Maria made friends?,1,breadth,f12f9596510d9b27f6d57f48f20ecad8b621950f84dce3f146bec206f9574229,TIE_MISS,NOT_APPLICABLE,24,33,29,PROTECTED_SPREAD
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,32000,Where has Maria made friends?,1,breadth,076b21161ddb3b3fc32640d9e7fd83b80a98f47aa865fb2345c8fe5cabd5e4a3,TIE_COMPLETE,NOT_APPLICABLE,84,100,87,PROTECTED_SPREAD
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,32000,Where has Maria made friends?,1,breadth,302bcf455f382dfb8317666b1cf7b9d08310bab660ce3b6e2095580d8c852a3d,TIE_COMPLETE,NOT_APPLICABLE,14,9,21,INITIAL_RELEVANCE
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,32000,Where has Maria made friends?,1,breadth,44e4275f99b17ccde061922abb2c2af5e46c9b412e135c4697ec4f9c0d860d20,TIE_COMPLETE,NOT_APPLICABLE,4,12,4,INITIAL_RELEVANCE
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,32000,Where has Maria made friends?,1,breadth,f12f9596510d9b27f6d57f48f20ecad8b621950f84dce3f146bec206f9574229,TIE_COMPLETE,NOT_APPLICABLE,24,33,29,INITIAL_RELEVANCE
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,conv-41,7,16000,What items des John mention having as a child?,1,other,32ffe8a7dedad95eff25c3a44c3f4d4e138b62d6feb299712e9df36a6209d70d,TIE_COMPLETE,NOT_APPLICABLE,13,4,19,INITIAL_RELEVANCE
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,conv-41,7,16000,What items des John mention having as a child?,1,other,658102cf34b8db5782589fb6483c95dcbb3c2d75c5488c842ff4a52698803ee7,TIE_COMPLETE,NOT_APPLICABLE,42,55,46,PROTECTED_SPREAD
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,conv-41,7,32000,What items des John mention having as a child?,1,other,32ffe8a7dedad95eff25c3a44c3f4d4e138b62d6feb299712e9df36a6209d70d,TIE_COMPLETE,NOT_APPLICABLE,13,4,19,INITIAL_RELEVANCE
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,conv-41,7,32000,What items des John mention having as a child?,1,other,658102cf34b8db5782589fb6483c95dcbb3c2d75c5488c842ff4a52698803ee7,TIE_COMPLETE,NOT_APPLICABLE,42,55,46,PROTECTED_SPREAD
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,conv-41,8,16000,What might John's financial status be?,3,targeted,b113c3663450ebbfeb34bc170673ccf9f3e195742d2508c736262d6b56888ece,TIE_MISS,NOT_APPLICABLE,254,264,257,ABSENT
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,conv-41,8,32000,What might John's financial status be?,3,targeted,b113c3663450ebbfeb34bc170673ccf9f3e195742d2508c736262d6b56888ece,TIE_MISS,NOT_APPLICABLE,254,264,257,ABSENT
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,conv-41,9,16000,Who gave Maria's family money when she was younger and her family was going through tough times?,1,other,b1b79843720975568442dfcef5ebba03e43b752b821810b307e9ece9389481a6,TIE_COMPLETE,NOT_APPLICABLE,5,5,2,INITIAL_RELEVANCE
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,conv-41,9,16000,Who gave Maria's family money when she was younger and her family was going through tough times?,1,other,ed9ebb09b50d16dd541274a6a4e4946d574069d7876145b820c1ac1250359c38,TIE_COMPLETE,NOT_APPLICABLE,1,1,1,INITIAL_RELEVANCE
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,conv-41,9,32000,Who gave Maria's family money when she was younger and her family was going through tough times?,1,other,b1b79843720975568442dfcef5ebba03e43b752b821810b307e9ece9389481a6,TIE_COMPLETE,NOT_APPLICABLE,5,5,2,INITIAL_RELEVANCE
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,conv-41,9,32000,Who gave Maria's family money when she was younger and her family was going through tough times?,1,other,ed9ebb09b50d16dd541274a6a4e4946d574069d7876145b820c1ac1250359c38,TIE_COMPLETE,NOT_APPLICABLE,1,1,1,INITIAL_RELEVANCE
ada2a7fd1f38dfadd6d076b8948d8f798e4598ce2cbe02221a32b37af3cd7e79,conv-41,10,16000,When did Maria meet Jean?,2,targeted,d7a6b0a42040a6e06f32803e589d48544c793e1b105c533ceb8f4ff1d834f5ab,TIE_COMPLETE,NOT_APPLICABLE,39,46,7,PROTECTED_SPREAD
