question_id,question_content_sha256,sample_id,source_index,category,resolved_evidence_count,unresolved_evidence_count,complete_evaluable,evidence_episodes,flat_complete,tiered_complete,flat_any,tiered_any,flat_delivered,tiered_delivered,flat_chars,tiered_chars,tiered_recency,tiered_k,tiered_coverage,tiered_dropped,tiered_evidence_delivered,tiered_evidence_tiers,flat_evidence_delivered,flat_best_evidence_rank,flat_worst_evidence_rank,flat_budget_chars,tiered_budget_chars
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,65ac552fe5146c39aaa65c250ddab0516010b63c585a14153c85302f57d8dc9b,conv-41,0,2,1,0,True,1,False,False,False,False,97,94,31898,31926,32,10,52,28,0,,0,156,156,32000,32000
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,9bfeb507fdcb02c41f4e684845b8ee97b9eb159a84cf7dfa2c16f4f935e939fc,conv-41,1,2,1,0,True,1,True,True,True,True,95,94,31949,31960,32,36,26,25,1,k,1,1,1,32000,32000
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,f26a4a49f036b0038b1bf1592cb3e7ded29c57e234bff734000460357610d250,conv-41,2,1,2,0,True,2,True,True,True,True,102,100,31996,31927,32,15,53,22,2,k,2,2,10,32000,32000
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,e528bd942852f555b7496e96b08314df2a1ba1e92cfd130f185140d093043899,conv-41,3,1,2,0,True,2,True,True,True,True,95,95,31991,31995,32,63,0,203,2,k,2,18,29,32000,32000
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,8c87ac019eb499d4a2249fb7e87b7ef7273c8eb25b6392e523dab4f31da58e55,conv-41,4,2,1,0,True,1,True,True,True,True,93,96,31934,31936,32,29,35,19,1,k,1,1,1,32000,32000
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,f76f3b2963897893929a2a1d9ade2430e9ef0b9007be33bbadd2ea59767e5dba,conv-41,5,2,1,0,True,1,True,False,True,False,98,95,31869,31912,32,34,29,25,0,,1,76,76,32000,32000
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,2095837b21de36d61d053619ecf9db839be122449ac1064734d644bfe4ec3073,conv-41,6,1,4,0,True,4,True,False,True,True,99,99,31919,31984,32,67,0,50,3,k,4,4,84,32000,32000
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,3e2817ee1f0616b02b1684d5c4bfb8b31990aa5604ece9cd4568827df0a0cdd9,conv-41,7,1,2,0,True,2,True,True,True,True,108,105,31898,31881,32,41,32,19,2,k,2,13,42,32000,32000
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,e3e660dc224f7a8c67928a697d7efdbda941a7fd194ff57d73b9f368cb21d7ec,conv-41,8,3,1,0,True,1,False,False,False,False,101,99,31973,31871,32,61,6,22,0,,0,254,254,32000,32000
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,6c81924222f1af9208fafb0b91b7ccc3288849a49055a10385a9fb141ca21046,conv-41,9,1,2,0,True,2,True,True,True,True,91,92,31926,31911,32,32,28,24,2,k,2,1,5,32000,32000
ada2a7fd1f38dfadd6d076b8948d8f798e4598ce2cbe02221a32b37af3cd7e79,284c8c4540d23617cf5900a9f54de3d0cb8133d70689e857907b82474161665d,conv-41,10,2,1,0,True,1,True,True,True,True,104,102,31995,31992,32,70,0,24,1,k,1,39,39,32000,32000
d28bb65d4e094f52445fc730231dc68f37035b4fc9b9e3385f6efa7275744efc,d9be26d55a8745b0e09e746160df6f0ac72e566f35b51ae084efcad98a1f9bb9,conv-41,11,1,4,0,True,4,False,False,True,True,89,94,31953,31980,32,62,0,140,2,k,1,28,192,32000,32000
75f30b93fb3bbac1e1de7fb1b06546578b4f93f47ac8e9486ab016fcfa7951c5,4dc137890ee53a521601eb2597547fe376250361ab08d586affba8cf611c883a,conv-41,12,1,2,0,True,2,False,True,True,True,104,100,31908,31961,32,8,60,28,2,coverage|k,1,2,143,32000,32000
