question_id,sample_id,source_index,question,category,population,carrier_count,session_count,structure,flags,complete_16000,evidence_delivered_16000,miss_state_16000,dense_relation_16000,association_16000,complete_32000,evidence_delivered_32000,miss_state_32000,dense_relation_32000,association_32000,longitudinal
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,conv-41,0,"Who did Maria have dinner with on May 3, 2023?",2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,conv-41,1,When did Maria donate her car?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,conv-41,2,What martial arts has John done?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,conv-41,3,What type of volunteering have John and Maria both done?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,conv-41,4,When did John join the online support group?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,conv-41,5,When did Maria go to the beach?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,6,Where has Maria made friends?,1,breadth,4,4,MULTI_SESSION,LOCATION,False,3,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,True,4,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,RESCUED_AT_32K
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,conv-41,7,What items des John mention having as a child?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,conv-41,8,What might John's financial status be?,3,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,UNMARKED,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,0,ZERO_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,conv-41,9,Who gave Maria's family money when she was younger and her family was going through tough times?,1,other,2,2,MULTI_SESSION,TEMPORAL,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,2,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
ada2a7fd1f38dfadd6d076b8948d8f798e4598ce2cbe02221a32b37af3cd7e79,conv-41,10,When did Maria meet Jean?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
d28bb65d4e094f52445fc730231dc68f37035b4fc9b9e3385f6efa7275744efc,conv-41,11,What people has Maria met and helped while volunteering?,1,breadth,4,4,MULTI_SESSION,CAUSAL,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,False,1,PARTIAL_EVIDENCE,TIE_MISS,NOT_APPLICABLE,PERSISTENT_MISS
75f30b93fb3bbac1e1de7fb1b06546578b4f93f47ac8e9486ab016fcfa7951c5,conv-41,12,What test has John taken multiple times?,1,other,2,2,MULTI_SESSION,UNMARKED,True,2,COMPLETE,GAIN,A3_ONLY,True,2,COMPLETE,GAIN,BOTH_CONTROLS,COMPLETE_BOTH
714abed9c5552df1a31661a57382863fa09c65b44e7a6aa98821bd86dcedf176,conv-41,13,When did Maria's grandmother pass away?,2,targeted,1,1,SINGLE_CARRIER_SINGLE_SESSION,TEMPORAL,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,True,1,COMPLETE,TIE_COMPLETE,NOT_APPLICABLE,COMPLETE_BOTH
