question,turn,item,committed_available,candidate_available,preserved
Q1,112,847,True,True,True
Q1,112,s460ml,True,True,True
Q2,113,anara bekova,True,True,True
Q2,113,92.4,True,True,True
Q4,115,annunciation of forli,False,True,True
Q4,115,melozzo da forli,False,True,True
Q4,115,giuliano della rovere,False,True,True
Q4,115,1483,False,True,True
Q5,116,lead white,True,True,True
Q5,116,ultramarine glaze,True,True,True
Q6,117,giuliano della rovere,True,True,True
Q6,117,pope julius ii,False,True,True
Q7,118,vampyroteuthis infernalis,True,True,True
Q7,118,kenji watanabe,True,True,True
Q7,118,600,True,True,True
Q7,118,900,True,True,True
Q7,118,marine snow,True,True,True
Q8,119,photophores,True,True,True
Q8,119,mantle margin,True,True,True
Q10,118,vampyroteuthis infernalis,True,True,True
Q10,118,kenji watanabe,True,True,True
