query_id,query_class,required_domains,required_fact_ids,C0,T1,packed_recall_delta,direction
h121_l01,lookup,"[""structural""]","[""f121_structural_service_life""]","{""delivered_chars"": 31725, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_service_life""], ""packed_recall"": 1.0, ""payload_sha256"": ""65fba1c5bf3f850375e86c301cd87f07fad4dc63619ae1fe9b3f077b792b6347"", ""required_fact_count"": 1, ""selected_unique_source_count"": 11, ""selected_unit_count"": 11}","{""delivered_chars"": 31813, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_service_life""], ""packed_recall"": 1.0, ""payload_sha256"": ""5db0774768f1d2b99d60490e451a08ca692a445ca1e150ab50a399360cc65eac"", ""required_fact_count"": 1, ""selected_unique_source_count"": 5, ""selected_unit_count"": 92}",0.0,TIE
h121_l02,lookup,"[""structural""]","[""f121_structural_spherical_bearings""]","{""delivered_chars"": 30779, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_spherical_bearings""], ""packed_recall"": 1.0, ""payload_sha256"": ""84b7fc0aaa8ac4cc8d246869e1ab6594a3ec01b7031e8ba4446c102d47dfa00e"", ""required_fact_count"": 1, ""selected_unique_source_count"": 10, ""selected_unit_count"": 10}","{""delivered_chars"": 31938, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_spherical_bearings""], ""packed_recall"": 1.0, ""payload_sha256"": ""003d785202253e2595ef254fed7cbe1bb1f491d1b6cac6a03a58b8547e68815e"", ""required_fact_count"": 1, ""selected_unique_source_count"": 4, ""selected_unit_count"": 94}",0.0,TIE
h121_l03,lookup,"[""structural""]","[""f121_structural_dehumidification""]","{""delivered_chars"": 31821, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_structural_dehumidification""], ""packed_recall"": 1.0, ""payload_sha256"": ""6bf7d73e36aa7fbb36e3a82200934e6eb635faaf5a78adf792a7f730f8301ff1"", ""required_fact_count"": 1, ""selected_unique_source_count"": 11, ""selected_unit_count"": 11}","{""delivered_chars"": 31918, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""4fc8eb816fb65b7c0d4c7d65d2039f39c8d0b376ff1600c4b8d0e7e9d4c31fd4"", ""required_fact_count"": 1, ""selected_unique_source_count"": 4, ""selected_unit_count"": 91}",-1.0,LOSS
h121_l04,lookup,"[""art""]","[""f121_art_lapis_ultramarine""]","{""delivered_chars"": 31513, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_art_lapis_ultramarine""], ""packed_recall"": 1.0, ""payload_sha256"": ""1e61c0c110b115674904eb937ec8b28ab8d044572395709f8b54f35f9c57c5ed"", ""required_fact_count"": 1, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31905, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_art_lapis_ultramarine""], ""packed_recall"": 1.0, ""payload_sha256"": ""d58a025210c8b4551785091e754ea55d41ea2276721e187aedd664c091238170"", ""required_fact_count"": 1, ""selected_unique_source_count"": 4, ""selected_unit_count"": 92}",0.0,TIE
h121_l05,lookup,"[""art""]","[""f121_art_intonaco""]","{""delivered_chars"": 31672, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""9577a86f48c642b7dc1d65aa032deed2f7029aa8006cb0984c65f4a62a428e95"", ""required_fact_count"": 1, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31933, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""c642e9c580e29d861bab7f5f8bdcb93fe14cd4591de0149cda203bc6a4d23fc6"", ""required_fact_count"": 1, ""selected_unique_source_count"": 3, ""selected_unit_count"": 89}",0.0,TIE
h121_l06,lookup,"[""art""]","[""f121_art_infrared_reflectography""]","{""delivered_chars"": 31888, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_art_infrared_reflectography""], ""packed_recall"": 1.0, ""payload_sha256"": ""d4a57c59017fb89e27a283160fc79b4304f1cedb637681d1122d84cb1928196b"", ""required_fact_count"": 1, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31906, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_art_infrared_reflectography""], ""packed_recall"": 1.0, ""payload_sha256"": ""634b83aedc3e9e671c46fb6e7130a5073a3e3a2499950d9f93d7cdae7142524a"", ""required_fact_count"": 1, ""selected_unique_source_count"": 4, ""selected_unit_count"": 85}",0.0,TIE
h121_l07,lookup,"[""monetary""]","[""f121_monetary_gfc_2008""]","{""delivered_chars"": 30768, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""b5768af7cf99dff97920ddd25da3bee8b6d224ad3e8b456ad5c2ea880be78799"", ""required_fact_count"": 1, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31984, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""4f3a2ab8d931d1ffcb4dc460ba83f9f7e7e7b2c762d37add7755097cdd3eadf9"", ""required_fact_count"": 1, ""selected_unique_source_count"": 4, ""selected_unit_count"": 89}",0.0,TIE
h121_l08,lookup,"[""monetary""]","[""f121_monetary_near_zero""]","{""delivered_chars"": 31793, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_monetary_near_zero""], ""packed_recall"": 1.0, ""payload_sha256"": ""cfa1ff6db6d094571f073ba8bb739b6365011be9d840edb590911c8eef92a241"", ""required_fact_count"": 1, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31983, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_monetary_near_zero""], ""packed_recall"": 1.0, ""payload_sha256"": ""80ea08dfdaf972d516a021e58e144e3a87e720d5651b2eb410f55685bea52cf3"", ""required_fact_count"": 1, ""selected_unique_source_count"": 3, ""selected_unit_count"": 89}",0.0,TIE
h121_l09,lookup,"[""monetary""]","[""f121_monetary_great_moderation""]","{""delivered_chars"": 31640, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""dabd67b784abdfba9b13dac76bc56f45cbb276002886f9b37184764a2f49ef9f"", ""required_fact_count"": 1, ""selected_unique_source_count"": 7, ""selected_unit_count"": 7}","{""delivered_chars"": 31986, ""matched_fact_count"": 0, ""matched_fact_ids"": [], ""packed_recall"": 0.0, ""payload_sha256"": ""677473db687ef3dfd75cf0c41939891bc84fc05b9f659f9a7b3a1ad579fe67dc"", ""required_fact_count"": 1, ""selected_unique_source_count"": 3, ""selected_unit_count"": 89}",0.0,TIE
h121_l10,lookup,"[""marine""]","[""f121_marine_zones""]","{""delivered_chars"": 30612, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_marine_zones""], ""packed_recall"": 1.0, ""payload_sha256"": ""a3384519e2fe020f3acf55729a9f2806fde4d49b3929962ef2f5e92269fa0618"", ""required_fact_count"": 1, ""selected_unique_source_count"": 9, ""selected_unit_count"": 9}","{""delivered_chars"": 31802, ""matched_fact_count"": 1, ""matched_fact_ids"": [""f121_marine_zones""], ""packed_recall"": 1.0, ""payload_sha256"": ""67952c498d66ebe616590df2515cc8dee12f2bebe769285e6ff3d9c62f71b1cb"", ""required_fact_count"": 1, ""selected_unique_source_count"": 4, ""selected_unit_count"": 93}",0.0,TIE
