turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,1,0,0,1,0,"[{""episode_id"":""4116c946-5b54-4c74-89c5-59a5afc99c4d"",""provenance"":""stm""}]"
3,0,0,0,0,0,[]
4,1,0,0,1,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""}]"
5,1,0,0,1,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""}]"
6,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
7,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
8,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
9,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
10,0,0,0,0,0,[]
11,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
12,3,0,0,3,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""},{""episode_id"":""ac89dadb-7034-43bc-aeab-3da2a8c2cb5f"",""provenance"":""stm""}]"
13,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
14,1,0,0,1,0,"[{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
15,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
16,1,0,0,1,0,"[{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
17,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
18,4,0,0,4,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""},{""episode_id"":""e68a8f72-00d9-4c56-8576-65e68a99cc68"",""provenance"":""stm""},{""episode_id"":""26b9aa89-be24-488b-89cc-5e1ff03b51a9"",""provenance"":""stm""}]"
19,1,0,0,1,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""}]"
20,4,0,0,4,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""},{""episode_id"":""e68a8f72-00d9-4c56-8576-65e68a99cc68"",""provenance"":""stm""},{""episode_id"":""26b9aa89-be24-488b-89cc-5e1ff03b51a9"",""provenance"":""stm""}]"
21,3,0,0,3,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""},{""episode_id"":""26b9aa89-be24-488b-89cc-5e1ff03b51a9"",""provenance"":""stm""}]"
22,4,0,0,4,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""},{""episode_id"":""26b9aa89-be24-488b-89cc-5e1ff03b51a9"",""provenance"":""stm""},{""episode_id"":""39dce601-ecd3-49cf-8a34-e172e30a924e"",""provenance"":""stm""}]"
23,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
24,1,0,0,1,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""}]"
25,4,0,0,4,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""},{""episode_id"":""26b9aa89-be24-488b-89cc-5e1ff03b51a9"",""provenance"":""stm""},{""episode_id"":""39dce601-ecd3-49cf-8a34-e172e30a924e"",""provenance"":""stm""}]"
26,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
27,1,0,0,1,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""}]"
28,1,0,0,1,0,"[{""episode_id"":""39dce601-ecd3-49cf-8a34-e172e30a924e"",""provenance"":""stm""}]"
29,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
30,2,0,0,2,0,"[{""episode_id"":""ba9d2b18-1675-4e36-b61a-39875d87dd31"",""provenance"":""stm""},{""episode_id"":""05634b56-c506-49ea-aadc-9c5cf1cf049f"",""provenance"":""stm""}]"
31,0,0,0,0,0,[]
32,0,0,0,0,0,[]
33,0,0,0,0,0,[]
34,0,0,0,0,0,[]
35,0,0,0,0,0,[]
