arm,question,turn,domain,item,plant_turns,in_retrieval_payload,in_answer,status
T6,Q11,120,civil,Halcyon Crossing,3,True,True,recalled
T6,Q11,120,civil,847,3,True,True,recalled
T6,Q11,120,civil,Dr. Anara Bekova,3,True,True,recalled
T6,Q11,120,civil,S460ML,4,True,True,recalled
T6,Q11,120,civil,92.4,4,True,True,recalled
T6,Q11,120,art,The Annunciation of Forli,55,True,True,recalled
T6,Q11,120,art,Melozzo da Forli,55,False,False,absent
T6,Q11,120,art,Cardinal Giuliano della Rovere,55;60,False,False,absent
T6,Q11,120,art,1483,55,False,False,absent
T6,Q11,120,monetary,Taylor Rule,61,False,False,absent
T6,Q11,120,monetary,Federal Reserve,62,False,False,absent
T6,Q11,120,monetary,Dr. Priya Mehta,65,False,False,absent
T6,Q11,120,monetary,2.3%,65,False,False,absent
T6,Q11,120,marine,Vampyroteuthis infernalis,100,True,True,recalled
T6,Q11,120,marine,Dr. Kenji Watanabe,100,False,False,absent
T6,Q11,120,marine,600,100,False,False,absent
T6,Q11,120,marine,marine snow,102,False,False,absent
T6,Q14,121,civil,Halcyon Crossing,3,True,True,recalled
T6,Q14,121,civil,847,3,True,True,recalled
T6,Q14,121,civil,Dr. Anara Bekova,3,True,False,unused
T6,Q14,121,civil,S460ML,4,True,False,unused
T6,Q14,121,civil,92.4,4,True,False,unused
T6,Q14,121,art,The Annunciation of Forli,55,True,True,recalled
T6,Q14,121,art,Melozzo da Forli,55,False,False,absent
T6,Q14,121,art,Cardinal Giuliano della Rovere,55;60,False,False,absent
T6,Q14,121,art,1483,55,False,False,absent
T6,Q14,121,monetary,Taylor Rule,61,False,False,absent
T6,Q14,121,monetary,Federal Reserve,62,False,False,absent
T6,Q14,121,monetary,Dr. Priya Mehta,65,False,False,absent
T6,Q14,121,monetary,2.3%,65,False,False,absent
T6,Q14,121,marine,Vampyroteuthis infernalis,100,True,True,recalled
T6,Q14,121,marine,Dr. Kenji Watanabe,100,False,False,absent
T6,Q14,121,marine,600,100,False,False,absent
T6,Q14,121,marine,marine snow,102,False,False,absent
S,Q11,120,civil,Halcyon Crossing,3,True,True,recalled
S,Q11,120,civil,847,3,True,True,recalled
S,Q11,120,civil,Dr. Anara Bekova,3,True,True,recalled
S,Q11,120,civil,S460ML,4,True,True,recalled
S,Q11,120,civil,92.4,4,True,True,recalled
S,Q11,120,art,The Annunciation of Forli,55,False,False,absent
S,Q11,120,art,Melozzo da Forli,55,False,False,absent
S,Q11,120,art,Cardinal Giuliano della Rovere,55;60,False,False,absent
S,Q11,120,art,1483,55,False,False,absent
S,Q11,120,monetary,Taylor Rule,61,False,False,absent
S,Q11,120,monetary,Federal Reserve,62,False,False,absent
S,Q11,120,monetary,Dr. Priya Mehta,65,False,False,absent
S,Q11,120,monetary,2.3%,65,False,False,absent
S,Q11,120,marine,Vampyroteuthis infernalis,100,True,True,recalled
S,Q11,120,marine,Dr. Kenji Watanabe,100,False,False,absent
S,Q11,120,marine,600,100,False,False,absent
S,Q11,120,marine,marine snow,102,False,False,absent
S,Q14,121,civil,Halcyon Crossing,3,True,True,recalled
S,Q14,121,civil,847,3,True,False,unused
S,Q14,121,civil,Dr. Anara Bekova,3,True,False,unused
S,Q14,121,civil,S460ML,4,True,True,recalled
S,Q14,121,civil,92.4,4,True,False,unused
S,Q14,121,art,The Annunciation of Forli,55,False,False,absent
S,Q14,121,art,Melozzo da Forli,55,False,False,absent
S,Q14,121,art,Cardinal Giuliano della Rovere,55;60,False,False,absent
S,Q14,121,art,1483,55,False,False,absent
S,Q14,121,monetary,Taylor Rule,61,False,False,absent
S,Q14,121,monetary,Federal Reserve,62,False,False,absent
S,Q14,121,monetary,Dr. Priya Mehta,65,False,False,absent
S,Q14,121,monetary,2.3%,65,False,False,absent
S,Q14,121,marine,Vampyroteuthis infernalis,100,True,True,recalled
S,Q14,121,marine,Dr. Kenji Watanabe,100,False,False,absent
S,Q14,121,marine,600,100,False,False,absent
S,Q14,121,marine,marine snow,102,False,False,absent
L,Q11,120,civil,Halcyon Crossing,3,True,True,recalled
L,Q11,120,civil,847,3,True,True,recalled
L,Q11,120,civil,Dr. Anara Bekova,3,True,True,recalled
L,Q11,120,civil,S460ML,4,True,True,recalled
L,Q11,120,civil,92.4,4,True,True,recalled
L,Q11,120,art,The Annunciation of Forli,55,False,False,absent
L,Q11,120,art,Melozzo da Forli,55,False,False,absent
L,Q11,120,art,Cardinal Giuliano della Rovere,55;60,False,False,absent
L,Q11,120,art,1483,55,False,False,absent
L,Q11,120,monetary,Taylor Rule,61,False,False,absent
L,Q11,120,monetary,Federal Reserve,62,True,True,recalled
L,Q11,120,monetary,Dr. Priya Mehta,65,False,False,absent
L,Q11,120,monetary,2.3%,65,False,False,absent
L,Q11,120,marine,Vampyroteuthis infernalis,100,True,True,recalled
L,Q11,120,marine,Dr. Kenji Watanabe,100,True,True,recalled
L,Q11,120,marine,600,100,True,True,recalled
L,Q11,120,marine,marine snow,102,True,True,recalled
L,Q14,121,civil,Halcyon Crossing,3,True,True,recalled
L,Q14,121,civil,847,3,True,True,recalled
L,Q14,121,civil,Dr. Anara Bekova,3,True,False,unused
L,Q14,121,civil,S460ML,4,True,False,unused
L,Q14,121,civil,92.4,4,True,False,unused
L,Q14,121,art,The Annunciation of Forli,55,True,False,unused
L,Q14,121,art,Melozzo da Forli,55,True,False,unused
L,Q14,121,art,Cardinal Giuliano della Rovere,55;60,True,False,unused
L,Q14,121,art,1483,55,True,False,unused
L,Q14,121,monetary,Taylor Rule,61,False,False,absent
L,Q14,121,monetary,Federal Reserve,62,True,True,recalled
L,Q14,121,monetary,Dr. Priya Mehta,65,False,False,absent
L,Q14,121,monetary,2.3%,65,False,False,absent
L,Q14,121,marine,Vampyroteuthis infernalis,100,True,True,recalled
L,Q14,121,marine,Dr. Kenji Watanabe,100,True,True,recalled
L,Q14,121,marine,600,100,True,True,recalled
L,Q14,121,marine,marine snow,102,True,False,unused
