row_type,variant,topic,dream_event,source_turn,plant,span_text,score,rank,minimum_C,current_density_rank,rubric_critical
plant,rarity_mean,topic_3,61,56,art_pigment,Analyze in detail the pigment technique used in The Annunciation of Forlì — specifically the lead white ground preparation and the ultramarine glaze layers that Melozzo da Forlì applied.,3.124831,412,412,316,True
plant,rarity_max,topic_3,61,56,art_pigment,Analyze in detail the pigment technique used in The Annunciation of Forlì — specifically the lead white ground preparation and the ultramarine glaze layers that Melozzo da Forlì applied.,4.186353,410,410,316,True
plant,rarity_sum_per_word,topic_3,61,56,art_pigment,Analyze in detail the pigment technique used in The Annunciation of Forlì — specifically the lead white ground preparation and the ultramarine glaze layers that Melozzo da Forlì applied.,2.120421,338,338,316,True
plant,rarity_mean,topic_3,61,60,art_patron_role,What does the patronage of Cardinal Giuliano della Rovere — who would later become Pope Julius II — tell us about how The Annunciation of Forlì should be read as a political as well as devotional object?,3.499571,295,295,240,True
plant,rarity_max,topic_3,61,60,art_patron_role,What does the patronage of Cardinal Giuliano della Rovere — who would later become Pope Julius II — tell us about how The Annunciation of Forlì should be read as a political as well as devotional object?,5.102643,328,328,240,True
plant,rarity_sum_per_word,topic_3,61,60,art_patron_role,What does the patronage of Cardinal Giuliano della Rovere — who would later become Pope Julius II — tell us about how The Annunciation of Forlì should be read as a political as well as devotional object?,1.899767,404,404,240,True
plant,rarity_mean,topic_4,91,61,monetary_taylor,Walk me through the full development of the Taylor Rule from its original 1993 formulation through to its current applications in central bank policy frameworks.,3.262306,282,282,91,True
plant,rarity_max,topic_4,91,61,monetary_taylor,Walk me through the full development of the Taylor Rule from its original 1993 formulation through to its current applications in central bank policy frameworks.,5.102643,9,9,91,True
plant,rarity_sum_per_word,topic_4,91,61,monetary_taylor,Walk me through the full development of the Taylor Rule from its original 1993 formulation through to its current applications in central bank policy frameworks.,1.826892,389,389,91,True
plant,rarity_mean,topic_4,91,62,monetary_fed,"Analyze in detail how the Federal Reserve's dual mandate — maximum employment and stable prices — creates structural tensions in monetary policy decisions, and how the Fed has historically navigated these tensions during periods of simultaneous inflationary and employment pressure.",3.131812,342,342,208,True
plant,rarity_max,topic_4,91,62,monetary_fed,"Analyze in detail how the Federal Reserve's dual mandate — maximum employment and stable prices — creates structural tensions in monetary policy decisions, and how the Fed has historically navigated these tensions during periods of simultaneous inflationary and employment pressure.",5.102643,24,24,208,True
plant,rarity_sum_per_word,topic_4,91,62,monetary_fed,"Analyze in detail how the Federal Reserve's dual mandate — maximum employment and stable prices — creates structural tensions in monetary policy decisions, and how the Fed has historically navigated these tensions during periods of simultaneous inflationary and employment pressure.",2.087874,334,334,208,True
plant,rarity_mean,topic_5,111,101,marine_photophores,Analyze in detail the bioluminescent organs of Vampyroteuthis infernalis — specifically the photophores distributed along its mantle margin.,3.310391,,unreachable: fails retained eligibility,,True
plant,rarity_max,topic_5,111,101,marine_photophores,Analyze in detail the bioluminescent organs of Vampyroteuthis infernalis — specifically the photophores distributed along its mantle margin.,4.186353,,unreachable: fails retained eligibility,,True
plant,rarity_sum_per_word,topic_5,111,101,marine_photophores,Analyze in detail the bioluminescent organs of Vampyroteuthis infernalis — specifically the photophores distributed along its mantle margin.,2.336746,,unreachable: fails retained eligibility,,True
plant,rarity_mean,topic_5,111,102,marine_feeding,Dr. Kenji Watanabe's team has documented that Vampyroteuthis infernalis feeds primarily through marine snow particle aggregation rather than active predation.,3.140902,167,167,89,True
plant,rarity_max,topic_5,111,102,marine_feeding,Dr. Kenji Watanabe's team has documented that Vampyroteuthis infernalis feeds primarily through marine snow particle aggregation rather than active predation.,4.409496,167,167,89,True
