item_id,arm_id,study,arm,question,turns,raw_chars,scoreable_chars,empty,has_reasoning,unclosed_reasoning,truncated,no_answer,original_score,facts_found,facts_total,flags,response_path,score_path,raw_facts_found
s001_iterative_q1,s001_iterative,1,iterative,Q1,25,1828,128,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,1
s001_iterative_q2,s001_iterative,1,iterative,Q2,30,231,161,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,2
s001_iterative_q3,s001_iterative,1,iterative,Q3,29,2761,94,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,1
s001_iterative_q4,s001_iterative,1,iterative,Q4,26,2398,86,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,2
s001_iterative_q5,s001_iterative,1,iterative,Q5,28,706,174,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,2
s001_iterative_q6,s001_iterative,1,iterative,Q6,20,267,248,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,1
s001_iterative_q7,s001_iterative,1,iterative,Q7,31,897,273,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,1
s001_iterative_q8,s001_iterative,1,iterative,Q8,32,3131,0,False,True,True,True,True,1.0,0,6,F1;F4,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,6
s001_iterative_q9,s001_iterative,1,iterative,Q9,27,1447,450,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,2
s001_iterative_q10,s001_iterative,1,iterative,Q10,"25,26,27,28,29,30,31,32",13413,1378,False,True,True,True,False,0.0,2,2,,experiments/study_001/runs/run_001/iterative/rubric/responses.md,experiments/study_001/runs/run_001/iterative/rubric/scores.md,2
s001_full_context_q1,s001_full_context,1,full_context,Q1,25,163,93,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,1
s001_full_context_q2,s001_full_context,1,full_context,Q2,30,250,182,False,True,False,False,False,1.0,2,2,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,2
s001_full_context_q3,s001_full_context,1,full_context,Q3,29,457,389,False,True,False,False,False,1.0,1,1,,experiments/study_001/runs/run_001/full_context/rubric/responses.md,experiments/study_001/runs/run_001/full_context/rubric/scores.md,1
