question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,floors_dual_evidence_delivered,dual_evidence_delivered,floors_dual_evidence_tiers,dual_evidence_tiers,floors_dual_evidence_phases,dual_evidence_phases
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,1,gain,4,4,84,4,2,k,k,contested|reserved,
bc458224e5cc9ef5bf9502afddc64f03a586be6c1360d3fc134b59a782f5c7cb,conv-41,1,gain,2,1,11,2,0,k,,contested,
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,1,loss,3,16,31,2,3,k,k,contested|reserved,
7e400493e1f8e110a1b73d407bc503727fec99b6df5446d27f7a5b721cbd09a8,conv-41,1,gain,4,1,10,4,2,k,k,contested|reserved,
ea9de830c59aa8046b513492a5069d4059a487a4e563a42422888e26c0cbe975,conv-41,1,gain,2,1,7,2,0,k,,contested,
b6a82c2eab3acda85ae7e9d6321d7be50fe13198c792398038278bf76017df5f,conv-41,2,gain,1,1,1,1,0,k,,contested,
57cb78d9a8700d5254f53691ff26acf59bb2bbad1d2695b95514839c52b4bbf1,conv-41,2,gain,1,10,10,1,0,k,,contested,
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,1,loss,4,2,43,3,4,k,k,contested|reserved,
136977e4c66c5c46e566f3d51725f45aae0327b6f8767183941e4c82a827e032,conv-41,4,loss,1,87,87,0,1,,k,,
a94a6c814011f43ed0fe862ec77997bdf8f6a04b7141e24354b68cf1b4363fec,conv-41,4,loss,1,54,54,0,1,,k,,
c999400bebd41b668faa6c0b86f43a7bc022aee773fc5b75173731a01ed379a5,conv-41,4,gain,1,3,3,1,0,k,,contested,
fa6d171e774db5f02bb24e1054b0bae761a2e1bda96f2550e382c6ec3f677c37,conv-41,4,gain,1,1,1,1,0,k,,contested,
58d85e4977b631800845043bce927d9012751c51d39e62521802a28e9a80a3db,conv-41,4,gain,1,3,3,1,0,k,,contested,
3d884027b11bb5693383321ad96a7223d78e1fe68c2be5a3e9daf30c97bc1ff4,conv-41,4,gain,1,12,12,1,0,k,,contested,
51a61d6ba9ea63725cba397d1854b772c98592406ce731e1f080534e7bf4d8fa,conv-41,4,gain,1,1,1,1,0,k,,contested,
0f6a656c4dd3a6d4c4aa74e40629357576ea65b5af802261f6b8069a05a870bf,conv-41,4,gain,1,1,1,1,0,k,,contested,
5be306aecff5ccc9b741c7e7c0dffc398351e3df3d221cd179c815ee2daac36a,conv-41,4,gain,1,7,7,1,0,k,,contested,
954a729e44a3de6ab20353a0bfd52a97d9a89029e0ada71346146f442b142c55,conv-41,4,gain,1,1,1,1,0,k,,contested,
b84295b60ece1edc0542fc349f3a67ca39a2e0b1d356bdc17a689377141f06ff,conv-41,4,gain,1,4,4,1,0,k,,contested,
90d626053cf2bc0a67337fc7e441359538659b1e6d7cade9a19274e971a10ead,conv-41,4,gain,1,4,4,1,0,k,,contested,
d92f9fbdcbf177c769957466731e88da32930795f9498bc4280fc1f75bd6f3d2,conv-41,4,gain,1,1,1,1,0,k,,contested,
84ef28a5108a343b3a3ff3bf27ab5b2deacad234e97573386015853d25b2f24f,conv-41,4,gain,1,4,4,1,0,k,,contested,
b7e90f46d89e8bccb1cce16cf45690c5a26c021ebc3373d54727e79bbfb93b75,conv-41,4,gain,1,4,4,1,0,k,,contested,
2210b772f786d52f146c4a8cf239de8716df204a78df574fa5e5bd38e8bf83ba,conv-41,4,gain,1,3,3,1,0,k,,contested,
1c5c0dd076e28e81101b18fef840034a172a3780a7010f61f51f6a03d08a282c,conv-41,4,gain,1,8,8,1,0,k,,contested,
d62bca93ff7c87776e395d7455366fbf1db749dce1ed2dfb3a723362caa27519,conv-41,4,gain,1,3,3,1,0,k,,contested,
bd6478ce3e8c00f635373de5654890be76bf0a5bb0c674eb38573ca3ebda2442,conv-41,4,gain,1,1,1,1,0,k,,contested,
c7acb34275e7aa836fe52f2794afff19d0e499233d297c9367a4759d4ea78e4c,conv-41,4,gain,1,1,1,1,0,k,,contested,
956f0a351bdc18fea75fe7faafda94f1788d8bdaa9629ca1733c461ce1d6dc1a,conv-41,4,gain,1,1,1,1,0,k,,contested,
2b96ef9d564aba43af0eeb5f2c664eda7e5d8487058ba11b1530556bb3968726,conv-41,4,gain,1,1,1,1,0,k,,contested,
f848857d4cb60049328de9ac467b8d7b4ca90a22a1cddfc915c6c213c964e218,conv-41,4,gain,1,1,1,1,0,k,,contested,
