turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,1,0,0,1,0,"[{""episode_id"":""eb6966ea-c2cd-4228-8aca-2535fd83f769"",""provenance"":""stm""}]"
14,0,0,0,0,0,[]
15,1,0,0,1,0,"[{""episode_id"":""eb6966ea-c2cd-4228-8aca-2535fd83f769"",""provenance"":""stm""}]"
16,0,0,0,0,0,[]
17,0,0,0,0,0,[]
18,2,0,0,2,0,"[{""episode_id"":""eb6966ea-c2cd-4228-8aca-2535fd83f769"",""provenance"":""stm""},{""episode_id"":""0c3a5d48-52e1-42be-ac12-4b7a37fedd97"",""provenance"":""stm""}]"
19,0,0,0,0,0,[]
20,2,0,0,2,0,"[{""episode_id"":""eb6966ea-c2cd-4228-8aca-2535fd83f769"",""provenance"":""stm""},{""episode_id"":""0c3a5d48-52e1-42be-ac12-4b7a37fedd97"",""provenance"":""stm""}]"
21,2,0,0,2,0,"[{""episode_id"":""eb6966ea-c2cd-4228-8aca-2535fd83f769"",""provenance"":""stm""},{""episode_id"":""0c3a5d48-52e1-42be-ac12-4b7a37fedd97"",""provenance"":""stm""}]"
22,3,0,0,3,0,"[{""episode_id"":""eb6966ea-c2cd-4228-8aca-2535fd83f769"",""provenance"":""stm""},{""episode_id"":""0c3a5d48-52e1-42be-ac12-4b7a37fedd97"",""provenance"":""stm""},{""episode_id"":""a05ce050-2496-49bf-9914-bef91b87de67"",""provenance"":""stm""}]"
23,1,0,0,1,0,"[{""episode_id"":""9066666f-7c46-45f1-a4cb-598e7d2c49ed"",""provenance"":""stm""}]"
24,0,0,0,0,0,[]
25,3,0,0,3,0,"[{""episode_id"":""9066666f-7c46-45f1-a4cb-598e7d2c49ed"",""provenance"":""stm""},{""episode_id"":""0c3a5d48-52e1-42be-ac12-4b7a37fedd97"",""provenance"":""stm""},{""episode_id"":""a05ce050-2496-49bf-9914-bef91b87de67"",""provenance"":""stm""}]"
26,0,0,0,0,0,[]
27,2,0,0,2,0,"[{""episode_id"":""eb6966ea-c2cd-4228-8aca-2535fd83f769"",""provenance"":""stm""},{""episode_id"":""0c3a5d48-52e1-42be-ac12-4b7a37fedd97"",""provenance"":""stm""}]"
28,0,0,0,0,0,[]
29,0,0,0,0,0,[]
30,0,0,0,0,0,[]
31,0,0,0,0,0,[]
32,0,0,0,0,0,[]
33,0,0,0,0,0,[]
34,0,0,0,0,0,[]
35,0,0,0,0,0,[]
