question_id,question_content_sha256,sample_id,source_index,population,eligible,evidence_candidates,control_16000_complete,control_16000_any,control_16000_evidence_delivered,control_16000_delivered,control_16000_chars,control_16000_payload_sha256,control_16000_spread_evidence,control_16000_relevance_evidence,a3_16000_complete,a3_16000_any,a3_16000_evidence_delivered,a3_16000_delivered,a3_16000_chars,a3_16000_payload_sha256,a3_16000_spread_evidence,a3_16000_relevance_evidence,facility_16000_complete,facility_16000_any,facility_16000_evidence_delivered,facility_16000_delivered,facility_16000_chars,facility_16000_payload_sha256,facility_16000_spread_evidence,facility_16000_relevance_evidence,control_32000_complete,control_32000_any,control_32000_evidence_delivered,control_32000_delivered,control_32000_chars,control_32000_payload_sha256,control_32000_spread_evidence,control_32000_relevance_evidence,a3_32000_complete,a3_32000_any,a3_32000_evidence_delivered,a3_32000_delivered,a3_32000_chars,a3_32000_payload_sha256,a3_32000_spread_evidence,a3_32000_relevance_evidence,facility_32000_complete,facility_32000_any,facility_32000_evidence_delivered,facility_32000_delivered,facility_32000_chars,facility_32000_payload_sha256,facility_32000_spread_evidence,facility_32000_relevance_evidence
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,65ac552fe5146c39aaa65c250ddab0516010b63c585a14153c85302f57d8dc9b,conv-41,0,targeted,True,1,False,False,0,46,15982,c309d09efdbca8514ecff825398946a8611d5e2139b841d0b91a184e0fb52b76,0,0,False,False,0,47,15942,8b9260c1844a4b063ed2b16681e0d59927c714976b3d9cdc3fac613a48a83aa3,0,0,False,False,0,44,15969,7178fe711d69bd9dfef67027fca9bd82fb1675050395e21a14892a9b2e4993ab,0,0,False,False,0,97,31898,87e4f9a15ea13d5b5790b034f372c4f76b186d4912cc78933c81bf9ad2f3d385,0,0,False,False,0,96,31857,c4c4ae5455c652fe2625e8be8fe8df22ab9db110a2d8cb417063d57f1f728bb0,0,0,False,False,0,92,31957,fcebf1dea27e4256570f7b738aee1e21d4f30da73cd68686382284989c64fb72,0,0
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,9bfeb507fdcb02c41f4e684845b8ee97b9eb159a84cf7dfa2c16f4f935e939fc,conv-41,1,targeted,True,1,True,True,1,45,15958,75196fb7663d95d8b7ed34d35ba0b38f843539736a43b1297792846a2a17ea57,0,1,True,True,1,46,15976,ed8ca58520e59e027847550353ab142808c352e9d6538d08b85572034f679e85,0,1,True,True,1,46,15891,77975f12737fce8cb1bde14ffc4e256121e3e006a039fabc51f04ee588501d2a,0,1,True,True,1,95,31949,c6c660f919ac84b93c6f6d5cd0b9d09c5dff0cf53505f3f19c51d853faef9b9f,0,1,True,True,1,94,31898,2bbb10e63af678bcd31104298fda7f5a5c20cc0821d26c72d028a16f1f5a3ba6,0,1,True,True,1,90,31953,4e56d87922b29f384525f366e64b7244738df7d1ef5939c5c615f07b4e1b38df,0,1
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,f26a4a49f036b0038b1bf1592cb3e7ded29c57e234bff734000460357610d250,conv-41,2,other,True,2,True,True,2,49,15937,bde648c478aa6068e2271ee58b99e821cb6cf8605a1d7f481277fe1ad10f93eb,0,2,True,True,2,49,15912,3076ec64b374ac0a9d99b643c5f1004816a8d48a1661f5bb7b904393f87ee3f9,0,2,True,True,2,48,15997,fad827db739a27c0bbdeaefee79b1f4d2c0db1a5dbe874184c90e508f4e335d1,0,2,True,True,2,102,31996,8c623eb015f39d17af490c6d98d6cf947bdab4096b5b78220bee05d901f71402,0,2,True,True,2,102,31944,f1448e84d4472da14ab05e5c67e125e358f28396c2b47f53776427c7e3a1e31e,0,2,True,True,2,96,31989,35c9f2aee9b7e4bc885a8d567b994b114bfebdae5a13269aab6549d51ffdd159,0,2
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,e528bd942852f555b7496e96b08314df2a1ba1e92cfd130f185140d093043899,conv-41,3,other,True,2,True,True,2,44,15933,c602f620aee7e89a75490e98a8f76fd507bb9011488a467e87dd7be6c240cbcb,0,2,True,True,2,44,15994,457a6fa2bbc8378d5e22c59f56c1254e6f03a65ad24b8befe756f8cc292aee12,1,1,False,True,1,45,15997,7b4e85a8b384cb62d72b6ad302f26e9cef8cc2c2d572523553e9dc423e25c537,0,1,True,True,2,95,31991,f5186a86265a5f0ef55bb33f0f77917eb95ecc8c69c3d4d91f7bd366ed573f1a,0,2,True,True,2,94,31954,6ec5f2226232bea4052a4d54293ea627ffe811ec48138808e651ec1988a317f4,0,2,True,True,2,90,31978,7a40a4924aa93be80ff0f3ba3a13fd89c6fe359c57a40687469a3606d001460b,0,2
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,8c87ac019eb499d4a2249fb7e87b7ef7273c8eb25b6392e523dab4f31da58e55,conv-41,4,targeted,True,1,True,True,1,49,15940,103c5b50edb2fe49312f13ccd432d9a22dcdfadfdbb5b61ada07965216a784c7,0,1,True,True,1,49,15990,8c4ac3967e92d91f781c8d38f2bd30b9036e3fee5914f18766ac2509d1fc7aa9,0,1,True,True,1,48,15951,7e0eef75e61b6b029ec4f7456a6fbfea3254d4e52edb68d93b68d04c5a4918df,0,1,True,True,1,93,31934,ed486b56ca758a9a2cebef15c2a51a77da43f495942bdc48822c1c65d0ceb234,0,1,True,True,1,93,31999,c6d6b244d2b9cb317ed5c1e2c581b809b74d450e3841559229a2484405c35fd7,0,1,True,True,1,96,31981,c039ebff28a5bf907448e48fd950bea04aec854bb19f1f8499c99a35265f32ed,0,1
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,f76f3b2963897893929a2a1d9ade2430e9ef0b9007be33bbadd2ea59767e5dba,conv-41,5,targeted,True,1,False,False,0,46,15974,b19affe045f98a86ec235f498f642ab435c90b108d10f506e34bf2bf603d74fa,0,0,False,False,0,46,15942,3b7a4206da281c10938ca55a9c263e7e563541ade1cb32b8e24ffe9d22d0170c,0,0,False,False,0,47,15948,5f4d17b6f6edcbd342bf991836b93a8982a783d80b08909377e152f507567856,0,0,True,True,1,98,31869,0a5ad52be4dc3fb9f0ad625fa0a2ad3099549330b591741dabbe6dd1f461ad16,0,1,True,True,1,98,31862,3419b53ab84364092422b3f16b14a6c81149c0d40a39180c48579f27711d0ac5,1,0,False,False,0,90,31888,18f0b236a27bdb517cd6824aa6f9496154408d14cc9291f68de4160064436f85,0,0
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,2095837b21de36d61d053619ecf9db839be122449ac1064734d644bfe4ec3073,conv-41,6,breadth,True,4,False,True,3,49,15900,667679dafddee5bd85787d36750866b3d7e13260807874e23cb9293ac3c0de37,0,3,False,True,3,49,15964,38533d12add96b5d74c20538c5d537f2fda6ba4cb0f193bead87dd8a8d1bc1cb,1,2,False,True,2,49,15935,04455478319b583fcc694c15f6d399ff29d1d90e8fafd54e6d4bb2bdee71245d,0,2,True,True,4,99,31919,0787176abca3c4f764e60a7627afd0cf896a3023b8f67347c67e1dd5226c81e2,0,4,True,True,4,100,31975,866046617cc0ef4a1b9a15ffcd9e074ecafea54125e86f1fda3a352e2e4050c0,1,3,False,True,3,95,31994,60ab4ec9a5753e785aec4f9b07a7ee65420ffc4440fe9bd5d90ac55a2b2fe067,0,3
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,3e2817ee1f0616b02b1684d5c4bfb8b31990aa5604ece9cd4568827df0a0cdd9,conv-41,7,other,True,2,True,True,2,56,15978,6595fab361e7985e4028fb0c1b2ea9d0aa04f9e422e79113da9d3ab2f4360024,0,2,True,True,2,54,15892,415ff50e2699e1c56d4b884976174dae8bb2300fe9b3d4f7a59297081655ee9e,1,1,False,True,1,50,15947,c2fbf3f209302dcf9d763adcee1d4bfae7412921dd03047343f4472a1fe3adcb,0,1,True,True,2,108,31898,ce932eaae014a9372e694fcfc8e8eecb355d1ba1b8baaf9312a0c4d86907c569,0,2,True,True,2,108,31945,14f1c43346833530548df0c67bdb414ff28396939aca03d6977b780b43ef1d4d,0,2,True,True,2,101,31946,0737f7fbbcc026d1f22a5e23b84fbace535b91e89bc46fe6cf2cda19b8fedacd,0,2
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,e3e660dc224f7a8c67928a697d7efdbda941a7fd194ff57d73b9f368cb21d7ec,conv-41,8,targeted,True,1,False,False,0,52,15967,e0d84b7edc30512818aa1ca66265a5a01c827fb5d484c3d6287d9fc411808165,0,0,False,False,0,51,15990,e1a8815fcb6506ee1f7df366ac0c7e3ca3d881123b28c33ef2139f69db7de4da,0,0,False,False,0,50,15904,6d0146ffb90205553c14ccafa1a4caf512126d09edcf22e0d11bd7f68bc0cfa6,0,0,False,False,0,101,31973,6e9bfe63377211f2d02cf1e01f3766a6f8d24de3cbc31b211c6e032ecb32f9c6,0,0,False,False,0,101,31903,e5286514a72fc11b0009a05e799624112011d8690459fe8507166bb59d627dad,0,0,False,False,0,97,31903,5460de028ae8621360816b93a00d1bc0fb48445b8f1a94791dfb9cc787aca079,0,0
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,6c81924222f1af9208fafb0b91b7ccc3288849a49055a10385a9fb141ca21046,conv-41,9,other,True,2,True,True,2,43,15940,5a42a2d2d51e6511c796679f3e579826c7c0592ca6f1ba14b39704f293e7c677,0,2,True,True,2,43,15980,ccd0d39aea64e7f385cf0fde9509bf9aec041d03f9b5986438a0ed2b67683bc6,0,2,True,True,2,44,15898,0bc23df8d436b42d16127361f7a039496ca6fb6122ef13cf1f3278a5003f7529,0,2,True,True,2,91,31926,b39376a2ffbc7d2d8e2bd0d96700e61c965a9020ed4d1d7ac923c13ceec48416,0,2,True,True,2,91,31973,96f0c3b3cb65de378049dc51a16114de604609d90de710a8d7b15feeb646779c,0,2,True,True,2,90,31955,16a6fd538fed936b37e000da7bc06f6b16d0644d7c5b7bb389dd0785b034865b,0,2
