question_id,question_content_sha256,sample_id,source_index,category,resolved_evidence_count,unresolved_evidence_count,complete_evaluable,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,budget_chars,dual_budget_chars,flat_complete,flat_any,flat_delivered,flat_evidence_delivered,tiered_complete,tiered_any,tiered_delivered,tiered_evidence_delivered,dual_complete,dual_any,dual_delivered,dual_evidence_delivered,dual_ranked_complete,dual_ranked_any,dual_ranked_delivered,dual_ranked_evidence_delivered,flat_chars,tiered_chars,dual_chars,dual_ranked_chars,tiered_recency,tiered_k,tiered_coverage,dual_recency,dual_k,dual_coverage,dual_ranked_k,dual_ranked_coverage,tiered_evidence_tiers,dual_evidence_tiers,dual_ranked_evidence_tiers
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,65ac552fe5146c39aaa65c250ddab0516010b63c585a14153c85302f57d8dc9b,conv-41,0,2,1,0,True,1,156,156,16000,16000,False,False,46,0,False,False,47,0,False,False,46,0,False,False,46,0,15982,15995,16000,16000,32,10,5,0,10,36,10,36,,,
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,9bfeb507fdcb02c41f4e684845b8ee97b9eb159a84cf7dfa2c16f4f935e939fc,conv-41,1,2,1,0,True,1,1,1,16000,16000,True,True,45,1,True,True,48,1,True,True,46,1,True,True,46,1,15958,15897,15927,15927,32,16,0,0,39,7,39,7,k,k,k
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,f26a4a49f036b0038b1bf1592cb3e7ded29c57e234bff734000460357610d250,conv-41,2,1,2,0,True,2,2,10,16000,16000,True,True,49,2,True,True,51,2,True,True,49,2,True,True,49,2,15937,15981,15912,15912,32,15,4,0,16,33,16,33,k,k,k
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,e528bd942852f555b7496e96b08314df2a1ba1e92cfd130f185140d093043899,conv-41,3,1,2,0,True,2,18,29,16000,16000,True,True,44,2,False,True,49,1,True,True,45,2,True,True,44,2,15933,15996,15915,15933,32,17,0,0,45,0,44,0,k,k,k
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,8c87ac019eb499d4a2249fb7e87b7ef7273c8eb25b6392e523dab4f31da58e55,conv-41,4,2,1,0,True,1,1,1,16000,16000,True,True,49,1,True,True,49,1,True,True,49,1,True,True,49,1,15940,15895,15990,15990,32,17,0,0,32,17,32,17,k,k,k
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,f76f3b2963897893929a2a1d9ade2430e9ef0b9007be33bbadd2ea59767e5dba,conv-41,5,2,1,0,True,1,76,76,16000,16000,False,False,46,0,False,False,49,0,False,False,46,0,False,False,46,0,15974,15940,15942,15942,32,17,0,0,35,11,35,11,,,
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,2095837b21de36d61d053619ecf9db839be122449ac1064734d644bfe4ec3073,conv-41,6,1,4,0,True,4,4,84,16000,16000,False,True,49,3,False,True,50,2,False,True,50,2,False,True,49,3,15900,15985,15957,15900,32,18,0,0,50,0,49,0,k,k,k
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,3e2817ee1f0616b02b1684d5c4bfb8b31990aa5604ece9cd4568827df0a0cdd9,conv-41,7,1,2,0,True,2,13,42,16000,16000,True,True,56,2,True,True,51,2,True,True,54,2,True,True,54,2,15978,15994,15855,15855,32,19,0,0,51,3,51,3,k,k,k
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,e3e660dc224f7a8c67928a697d7efdbda941a7fd194ff57d73b9f368cb21d7ec,conv-41,8,3,1,0,True,1,254,254,16000,16000,False,False,52,0,False,False,50,0,False,False,51,0,False,False,52,0,15967,15984,15939,15967,32,18,0,0,51,0,52,0,,,
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,6c81924222f1af9208fafb0b91b7ccc3288849a49055a10385a9fb141ca21046,conv-41,9,1,2,0,True,2,1,5,16000,16000,True,True,43,2,True,True,48,2,True,True,43,2,True,True,43,2,15940,15987,15980,15980,32,15,1,0,34,9,34,9,k,k,k
ada2a7fd1f38dfadd6d076b8948d8f798e4598ce2cbe02221a32b37af3cd7e79,284c8c4540d23617cf5900a9f54de3d0cb8133d70689e857907b82474161665d,conv-41,10,2,1,0,True,1,39,39,16000,16000,True,True,54,1,True,True,49,1,True,True,52,1,True,True,54,1,15927,15967,15991,15927,32,17,0,0,52,0,54,0,k,k,k
