question_id,sample_id,category,direction,evidence_episodes,flat_best_evidence_rank,flat_worst_evidence_rank,floors_dual_evidence_delivered,dual_ranked_evidence_delivered,floors_dual_evidence_tiers,dual_ranked_evidence_tiers,floors_dual_evidence_phases,dual_ranked_evidence_phases
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,conv-41,1,gain,4,4,84,4,3,k,k,contested|reserved,
c3e701757745a0d59758ddfdba3b30cee5f796e4f3cc76c680e828900aa4d92e,conv-41,1,loss,3,16,31,2,3,k,k,contested|reserved,
62df22747c16d25cbd57d4bd3af9cc8f44183c952d735149636529e78ed7e8a8,conv-41,1,loss,4,2,43,3,4,k,k,contested|reserved,
455a52ad1b469fbf334c134723110e97df123f0560d5ea33f3d78a8eb58d6f72,conv-41,4,loss,1,45,45,0,1,,k,,
cf05ff64213e09272cd0e5b7cd6776c449f2965300d00f17a893e654f6319ff2,conv-41,4,loss,1,30,30,0,1,,k,,
ee01995c1b6cbdbba001d03c049c1248cd1a924f616dfc95322b3715197916db,conv-42,3,gain,1,227,227,1,0,k,,reserved,
30ff3f19496cf33ea772fd7a7ce88e60e4eaebec9a63cabed8cd4cd3cac57089,conv-42,1,gain,3,2,74,3,2,k,k,contested|reserved,
ea53edf2240b88e8643025451bf8b0a91e4673ebee8a947749c64e3bef02e8a1,conv-42,3,loss,1,43,43,0,1,,k,,
52cc5d919bdffd019b5d2a6e48ea04b3f08657cc2efb2390e547e7588a55e591,conv-42,2,loss,1,42,42,0,1,,k,,
c67cf4f99d135e595767179cca1cce876cad4e3bba1d5d594e32e3d2dab8fe8b,conv-42,1,loss,2,2,49,1,2,k,k,contested,
9e1a1be73a7975d28634a082da77a31fde088d055dfba5fd8fe758e5293a9d38,conv-42,1,gain,2,1,68,2,1,k,k,contested|reserved,
806aa7d67b74698fa1e67fefe095d818b9f3cb4eee56b0954e12087bd4d1b7ed,conv-42,3,loss,1,37,37,0,1,,k,,
c49b9e4e8dcd7d9a9f6b912bf9a45edc1102b5d09c94ad3defdfa49a51653967,conv-42,1,loss,2,20,59,1,2,k,k,contested,
50370f80902f3cea6eddecd12a888e688e9f96e803a16709e89d946ce314cb01,conv-42,1,loss,3,14,35,1,3,k,k,contested,
642285dd7808bba6528b84bb31636f5664d655f26386ec7ef2c1ec714115f734,conv-42,1,loss,2,9,55,1,2,k,k,contested,
a41adcff1f3869760da18c4161fb06ce0ef820aab2706c20004ecf9fd3016d82,conv-42,1,loss,9,1,36,8,9,k,k,contested|reserved,
440de6a51273a11240f18b288c4c37ec9227a46197abb84f3660f78eabf8c0d8,conv-42,1,loss,7,2,40,6,7,k,k,contested|reserved,
10e2a14d5ba7ec84d1a88b21897a015f3df7af04f811ade630ebb4b5b1cad17d,conv-42,1,gain,2,12,109,2,1,k,k,reserved,
953e6f03e72f7983c8c6fffcea9b4a247694f0c81f9525a7797e1d427ebd2bc9,conv-42,1,loss,3,1,54,2,3,k,k,contested,
8832212f6fa8c327c297d50f380df09b24548076ca57c151468113867ee5ab88,conv-42,4,loss,1,49,49,0,1,,k,,
1ceb7c6bebd8a272be8fc25ede8bd86bdd51a41a39eb0937c51efffaa6828c7b,conv-42,4,loss,1,42,42,0,1,,k,,
a91bd67899cda568cb777c326475fdedd26ddb7a6c0a0bbd0a6d0380e1ceb33e,conv-42,4,loss,1,50,50,0,1,,k,,
a62cfe7e71c54f790be2c201aeea3b1ecb13f486371dce7f7f3a6075cdaed77d,conv-42,4,loss,1,47,47,0,1,,k,,
04c098ba4cc048cff425a9346c580d9b25d616cdda71ed019ef1a3dd9f7bb2af,conv-42,5,loss,1,37,37,0,1,,k,,
0bc653c71fc0bb2ec100caf3f7339e25be745089496b83b0714204418565176a,conv-42,5,loss,1,44,44,0,1,,k,,
5048a5abd5b6815036a3355ea150fbfea525827a5904890e4ce75ad4f1009735,conv-42,5,loss,1,39,39,0,1,,k,,
24e2129ee8d5254d4dc1d71d604ce5a0244536ca52a3ea86165a736f18024a49,conv-47,1,gain,3,11,118,3,2,k,k,contested|reserved,
7c4bfb5e3709ca346f7d39ce50e991b1b950a57a3f32fbc58e2c2f88528a32e9,conv-47,1,loss,2,5,44,1,2,k,k,contested,
e4c73ecf8635f7cc0194f763d03b8e8586c3aac825c799d501edda55b376b0ac,conv-47,2,loss,1,30,30,0,1,,k,,
e40211091adea159af6ee819677aeba4fd07194ce142322d15740f2bd21b2ee6,conv-47,4,gain,1,71,71,1,0,k,,reserved,
52766dcb81a0294a61cfdcb3b05e9bdf00e7bcad6b6bf290c654ccd8881d85cd,conv-47,4,loss,1,40,40,0,1,,k,,
5c4d966437cf2ad9434e1c5df6622897d26e8d81350390707429033c7d8f2d0a,conv-47,4,loss,1,36,36,0,1,,k,,
0179597e450a21af02f361e181c3bd523e736e422f80e7f5880bfcc34998f707,conv-47,5,loss,1,27,27,0,1,,k,,
af1d909a5fb8888fef4ea4ba02525bfacc1b6aede43626843e3ff102a724889f,conv-47,5,loss,1,29,29,0,1,,k,,
d21a6525b2434693c68c3854c7bf3a375f21dee340ebdf4cf75ed5e17a382c1a,conv-47,5,loss,1,38,38,0,1,,k,,
743bc5e2ed38c31921bbc1101abc923045def4c301018e55718f8fb66ad02839,conv-48,1,loss,4,3,48,3,4,k,k,reserved,
c4ddf270603b770f39f6ddfc480111cf6ed281c6523ed105b17adad3bf1a3803,conv-48,1,loss,4,1,57,3,4,k,k,contested,
2058a0e59bdf775c7cf7fc3b58c37204932f014ce598d1a7ef9a1f93d4a2eb7d,conv-48,1,loss,2,1,56,1,2,k,k,contested,
a69f4529c31f2dc4689030fc26c93a5a4a8c027fe0d276293e2b45d4838d2516,conv-48,1,gain,5,5,90,5,4,k,k,reserved,
e426318d990ba82b4cc4d7fa2471c4bcb8f12543a670dd9ae7129940f15c351a,conv-48,4,loss,1,35,35,0,1,,k,,
eedc4c72522c21ee5a0ef40ca4af0e9aaadeeb47279aac6e2ebaad3c78a4034d,conv-48,4,loss,1,46,46,0,1,,k,,
02da44516e795eaa23d9d59061a19349bc0848507e078180352086568b6033e9,conv-48,4,loss,1,38,38,0,1,,k,,
28d6c8aa7e1c9e36c622ef76e6ce8b1605ce312fd5217816d862881cd61ca650,conv-48,4,loss,1,39,39,0,1,,k,,
b1e8977c0c85d803c9400fb2f2fc2816eaf052251d6ceb6d6344097a9c63cc61,conv-48,4,loss,1,35,35,0,1,,k,,
c244b3cbaf33f1db1a3a8ab01a18abd9c55073309887d689936f1ee10eb59336,conv-48,5,loss,1,57,57,0,1,,k,,
c20249e03a81f1c7eedbbaaf2e0cc72fbc4ac539a3f13727b01328f1ceef0cec,conv-48,5,loss,1,41,41,0,1,,k,,
