turn,topic_id,topic,event_type,segmenter,extractor,episodes_evaluated,spans_evaluated,spans_eligible,survivors,records_written,marker_written,duplicates_collapsed,inference_calls
535,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,38,137,28,6,6,False,22,0
536,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,4,25,10,10,10,False,0,0
570,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,34,124,26,6,6,False,20,0
571,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,3,2,2,1,False,0,0
577,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,6,21,4,4,4,False,0,0
578,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,5,4,4,4,False,0,0
616,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,38,137,28,6,5,False,22,0
617,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,4,4,4,4,False,0,0
651,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,34,124,25,6,5,False,19,0
652,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,3,2,2,1,False,0,0
659,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,7,25,5,5,4,False,0,0
660,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,5,4,4,4,False,0,0
698,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,38,137,32,7,5,False,25,0
699,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,4,4,4,4,False,0,0
733,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,34,124,29,7,5,False,22,0
734,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,3,3,3,1,False,0,0
740,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,6,21,5,5,4,False,0,0
741,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,5,4,4,4,False,0,0
782,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,38,137,28,6,5,False,22,0
783,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,4,28,11,11,11,False,0,0
817,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,34,124,25,6,5,False,19,0
818,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,3,3,3,1,False,0,0
825,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,7,25,5,5,4,False,0,0
826,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,5,4,4,4,False,0,0
864,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,38,137,33,7,6,False,26,0
865,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,4,3,3,3,False,0,0
899,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,34,124,30,7,6,False,23,0
900,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,3,2,2,1,False,0,0
906,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,6,21,5,5,4,False,0,0
907,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,5,4,4,4,False,0,0
945,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,38,137,28,6,5,False,22,0
946,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,4,3,3,3,False,0,0
980,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,34,124,26,6,5,False,20,0
981,2f4b9cd1-7f9b-4945-bf2a-6820206deb4c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,1,3,2,2,2,False,0,0
986,1309be71-f501-45dc-8053-5df21f42c85a,topic_2,end_of_session_flush,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,6,21,4,4,4,False,0,0
