configuration_id,question,turn,item,committed_available,candidate_available,preserved
A1_l0.0,Q1,112,847,True,True,True
A1_l0.0,Q1,112,s460ml,True,True,True
A1_l0.0,Q2,113,anara bekova,True,True,True
A1_l0.0,Q2,113,92.4,True,True,True
A1_l0.0,Q4,115,annunciation of forli,False,True,True
A1_l0.0,Q4,115,melozzo da forli,False,True,True
A1_l0.0,Q4,115,giuliano della rovere,False,False,True
A1_l0.0,Q4,115,1483,False,True,True
A1_l0.0,Q5,116,lead white,True,False,False
A1_l0.0,Q5,116,ultramarine glaze,True,False,False
A1_l0.0,Q6,117,giuliano della rovere,True,False,False
A1_l0.0,Q6,117,pope julius ii,False,False,True
A1_l0.0,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.0,Q7,118,kenji watanabe,True,True,True
A1_l0.0,Q7,118,600,True,True,True
A1_l0.0,Q7,118,900,True,True,True
A1_l0.0,Q7,118,marine snow,True,True,True
A1_l0.0,Q8,119,photophores,True,True,True
A1_l0.0,Q8,119,mantle margin,True,True,True
A1_l0.0,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.0,Q10,118,kenji watanabe,True,True,True
A1_l0.1,Q1,112,847,True,True,True
A1_l0.1,Q1,112,s460ml,True,False,False
A1_l0.1,Q2,113,anara bekova,True,True,True
A1_l0.1,Q2,113,92.4,True,False,False
A1_l0.1,Q4,115,annunciation of forli,False,True,True
A1_l0.1,Q4,115,melozzo da forli,False,True,True
A1_l0.1,Q4,115,giuliano della rovere,False,False,True
A1_l0.1,Q4,115,1483,False,True,True
A1_l0.1,Q5,116,lead white,True,True,True
A1_l0.1,Q5,116,ultramarine glaze,True,True,True
A1_l0.1,Q6,117,giuliano della rovere,True,True,True
A1_l0.1,Q6,117,pope julius ii,False,True,True
A1_l0.1,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.1,Q7,118,kenji watanabe,True,True,True
A1_l0.1,Q7,118,600,True,True,True
A1_l0.1,Q7,118,900,True,True,True
A1_l0.1,Q7,118,marine snow,True,True,True
A1_l0.1,Q8,119,photophores,True,True,True
A1_l0.1,Q8,119,mantle margin,True,False,False
A1_l0.1,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.1,Q10,118,kenji watanabe,True,True,True
A1_l0.2,Q1,112,847,True,True,True
A1_l0.2,Q1,112,s460ml,True,True,True
A1_l0.2,Q2,113,anara bekova,True,False,False
A1_l0.2,Q2,113,92.4,True,True,True
A1_l0.2,Q4,115,annunciation of forli,False,True,True
A1_l0.2,Q4,115,melozzo da forli,False,True,True
A1_l0.2,Q4,115,giuliano della rovere,False,False,True
A1_l0.2,Q4,115,1483,False,True,True
A1_l0.2,Q5,116,lead white,True,True,True
A1_l0.2,Q5,116,ultramarine glaze,True,True,True
A1_l0.2,Q6,117,giuliano della rovere,True,True,True
A1_l0.2,Q6,117,pope julius ii,False,True,True
A1_l0.2,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.2,Q7,118,kenji watanabe,True,True,True
A1_l0.2,Q7,118,600,True,True,True
A1_l0.2,Q7,118,900,True,True,True
A1_l0.2,Q7,118,marine snow,True,True,True
A1_l0.2,Q8,119,photophores,True,True,True
A1_l0.2,Q8,119,mantle margin,True,False,False
A1_l0.2,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.2,Q10,118,kenji watanabe,True,True,True
A1_l0.3,Q1,112,847,True,True,True
A1_l0.3,Q1,112,s460ml,True,True,True
A1_l0.3,Q2,113,anara bekova,True,False,False
A1_l0.3,Q2,113,92.4,True,True,True
A1_l0.3,Q4,115,annunciation of forli,False,True,True
A1_l0.3,Q4,115,melozzo da forli,False,True,True
A1_l0.3,Q4,115,giuliano della rovere,False,False,True
A1_l0.3,Q4,115,1483,False,True,True
A1_l0.3,Q5,116,lead white,True,True,True
A1_l0.3,Q5,116,ultramarine glaze,True,True,True
A1_l0.3,Q6,117,giuliano della rovere,True,True,True
A1_l0.3,Q6,117,pope julius ii,False,True,True
A1_l0.3,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.3,Q7,118,kenji watanabe,True,True,True
A1_l0.3,Q7,118,600,True,True,True
A1_l0.3,Q7,118,900,True,True,True
A1_l0.3,Q7,118,marine snow,True,True,True
A1_l0.3,Q8,119,photophores,True,True,True
A1_l0.3,Q8,119,mantle margin,True,False,False
A1_l0.3,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.3,Q10,118,kenji watanabe,True,True,True
A1_l0.4,Q1,112,847,True,True,True
A1_l0.4,Q1,112,s460ml,True,True,True
A1_l0.4,Q2,113,anara bekova,True,True,True
A1_l0.4,Q2,113,92.4,True,True,True
A1_l0.4,Q4,115,annunciation of forli,False,True,True
A1_l0.4,Q4,115,melozzo da forli,False,True,True
A1_l0.4,Q4,115,giuliano della rovere,False,True,True
A1_l0.4,Q4,115,1483,False,True,True
A1_l0.4,Q5,116,lead white,True,True,True
A1_l0.4,Q5,116,ultramarine glaze,True,True,True
A1_l0.4,Q6,117,giuliano della rovere,True,True,True
A1_l0.4,Q6,117,pope julius ii,False,True,True
A1_l0.4,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.4,Q7,118,kenji watanabe,True,True,True
A1_l0.4,Q7,118,600,True,True,True
A1_l0.4,Q7,118,900,True,True,True
A1_l0.4,Q7,118,marine snow,True,True,True
A1_l0.4,Q8,119,photophores,True,True,True
A1_l0.4,Q8,119,mantle margin,True,True,True
A1_l0.4,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.4,Q10,118,kenji watanabe,True,True,True
A1_l0.5,Q1,112,847,True,True,True
A1_l0.5,Q1,112,s460ml,True,True,True
A1_l0.5,Q2,113,anara bekova,True,True,True
A1_l0.5,Q2,113,92.4,True,True,True
A1_l0.5,Q4,115,annunciation of forli,False,True,True
A1_l0.5,Q4,115,melozzo da forli,False,True,True
A1_l0.5,Q4,115,giuliano della rovere,False,False,True
A1_l0.5,Q4,115,1483,False,True,True
A1_l0.5,Q5,116,lead white,True,True,True
A1_l0.5,Q5,116,ultramarine glaze,True,True,True
A1_l0.5,Q6,117,giuliano della rovere,True,True,True
A1_l0.5,Q6,117,pope julius ii,False,True,True
A1_l0.5,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.5,Q7,118,kenji watanabe,True,True,True
A1_l0.5,Q7,118,600,True,True,True
A1_l0.5,Q7,118,900,True,True,True
A1_l0.5,Q7,118,marine snow,True,True,True
A1_l0.5,Q8,119,photophores,True,True,True
A1_l0.5,Q8,119,mantle margin,True,True,True
A1_l0.5,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.5,Q10,118,kenji watanabe,True,True,True
A1_l0.6,Q1,112,847,True,True,True
A1_l0.6,Q1,112,s460ml,True,True,True
A1_l0.6,Q2,113,anara bekova,True,True,True
A1_l0.6,Q2,113,92.4,True,True,True
A1_l0.6,Q4,115,annunciation of forli,False,True,True
A1_l0.6,Q4,115,melozzo da forli,False,True,True
A1_l0.6,Q4,115,giuliano della rovere,False,True,True
A1_l0.6,Q4,115,1483,False,True,True
A1_l0.6,Q5,116,lead white,True,True,True
A1_l0.6,Q5,116,ultramarine glaze,True,True,True
A1_l0.6,Q6,117,giuliano della rovere,True,True,True
A1_l0.6,Q6,117,pope julius ii,False,True,True
A1_l0.6,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.6,Q7,118,kenji watanabe,True,True,True
A1_l0.6,Q7,118,600,True,True,True
A1_l0.6,Q7,118,900,True,True,True
A1_l0.6,Q7,118,marine snow,True,True,True
A1_l0.6,Q8,119,photophores,True,True,True
A1_l0.6,Q8,119,mantle margin,True,True,True
A1_l0.6,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.6,Q10,118,kenji watanabe,True,True,True
A1_l0.7,Q1,112,847,True,True,True
A1_l0.7,Q1,112,s460ml,True,True,True
A1_l0.7,Q2,113,anara bekova,True,True,True
A1_l0.7,Q2,113,92.4,True,True,True
A1_l0.7,Q4,115,annunciation of forli,False,True,True
A1_l0.7,Q4,115,melozzo da forli,False,True,True
A1_l0.7,Q4,115,giuliano della rovere,False,True,True
A1_l0.7,Q4,115,1483,False,True,True
A1_l0.7,Q5,116,lead white,True,True,True
A1_l0.7,Q5,116,ultramarine glaze,True,True,True
A1_l0.7,Q6,117,giuliano della rovere,True,True,True
A1_l0.7,Q6,117,pope julius ii,False,True,True
A1_l0.7,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.7,Q7,118,kenji watanabe,True,True,True
A1_l0.7,Q7,118,600,True,True,True
A1_l0.7,Q7,118,900,True,True,True
A1_l0.7,Q7,118,marine snow,True,True,True
A1_l0.7,Q8,119,photophores,True,True,True
A1_l0.7,Q8,119,mantle margin,True,True,True
A1_l0.7,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.7,Q10,118,kenji watanabe,True,True,True
A1_l0.8,Q1,112,847,True,True,True
A1_l0.8,Q1,112,s460ml,True,True,True
A1_l0.8,Q2,113,anara bekova,True,True,True
A1_l0.8,Q2,113,92.4,True,True,True
A1_l0.8,Q4,115,annunciation of forli,False,True,True
A1_l0.8,Q4,115,melozzo da forli,False,True,True
A1_l0.8,Q4,115,giuliano della rovere,False,True,True
A1_l0.8,Q4,115,1483,False,True,True
A1_l0.8,Q5,116,lead white,True,True,True
A1_l0.8,Q5,116,ultramarine glaze,True,True,True
A1_l0.8,Q6,117,giuliano della rovere,True,True,True
A1_l0.8,Q6,117,pope julius ii,False,True,True
A1_l0.8,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.8,Q7,118,kenji watanabe,True,True,True
A1_l0.8,Q7,118,600,True,True,True
A1_l0.8,Q7,118,900,True,True,True
A1_l0.8,Q7,118,marine snow,True,True,True
A1_l0.8,Q8,119,photophores,True,True,True
A1_l0.8,Q8,119,mantle margin,True,True,True
A1_l0.8,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.8,Q10,118,kenji watanabe,True,True,True
A1_l0.9,Q1,112,847,True,True,True
A1_l0.9,Q1,112,s460ml,True,True,True
A1_l0.9,Q2,113,anara bekova,True,True,True
A1_l0.9,Q2,113,92.4,True,True,True
A1_l0.9,Q4,115,annunciation of forli,False,True,True
A1_l0.9,Q4,115,melozzo da forli,False,True,True
A1_l0.9,Q4,115,giuliano della rovere,False,True,True
A1_l0.9,Q4,115,1483,False,True,True
A1_l0.9,Q5,116,lead white,True,True,True
A1_l0.9,Q5,116,ultramarine glaze,True,True,True
A1_l0.9,Q6,117,giuliano della rovere,True,True,True
A1_l0.9,Q6,117,pope julius ii,False,True,True
A1_l0.9,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l0.9,Q7,118,kenji watanabe,True,True,True
A1_l0.9,Q7,118,600,True,True,True
A1_l0.9,Q7,118,900,True,True,True
A1_l0.9,Q7,118,marine snow,True,True,True
A1_l0.9,Q8,119,photophores,True,True,True
A1_l0.9,Q8,119,mantle margin,True,True,True
A1_l0.9,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l0.9,Q10,118,kenji watanabe,True,True,True
A1_l1.0,Q1,112,847,True,True,True
A1_l1.0,Q1,112,s460ml,True,True,True
A1_l1.0,Q2,113,anara bekova,True,True,True
A1_l1.0,Q2,113,92.4,True,True,True
A1_l1.0,Q4,115,annunciation of forli,False,True,True
A1_l1.0,Q4,115,melozzo da forli,False,True,True
A1_l1.0,Q4,115,giuliano della rovere,False,True,True
A1_l1.0,Q4,115,1483,False,True,True
A1_l1.0,Q5,116,lead white,True,True,True
A1_l1.0,Q5,116,ultramarine glaze,True,True,True
A1_l1.0,Q6,117,giuliano della rovere,True,True,True
A1_l1.0,Q6,117,pope julius ii,False,True,True
A1_l1.0,Q7,118,vampyroteuthis infernalis,True,True,True
A1_l1.0,Q7,118,kenji watanabe,True,True,True
A1_l1.0,Q7,118,600,True,True,True
A1_l1.0,Q7,118,900,True,True,True
A1_l1.0,Q7,118,marine snow,True,True,True
A1_l1.0,Q8,119,photophores,True,True,True
A1_l1.0,Q8,119,mantle margin,True,True,True
A1_l1.0,Q10,118,vampyroteuthis infernalis,True,True,True
A1_l1.0,Q10,118,kenji watanabe,True,True,True
A2_r0.0,Q1,112,847,True,True,True
A2_r0.0,Q1,112,s460ml,True,True,True
A2_r0.0,Q2,113,anara bekova,True,True,True
A2_r0.0,Q2,113,92.4,True,True,True
A2_r0.0,Q4,115,annunciation of forli,False,True,True
