question_id,question_content_sha256,sample_id,source_index,category,population,eligible,evidence_candidates,control_16000_complete,control_16000_any,control_16000_evidence_delivered,control_16000_evidence_share,control_16000_delivered,control_16000_chars,control_16000_payload_sha256,control_16000_spread_evidence,control_16000_relevance_evidence,a3_16000_complete,a3_16000_any,a3_16000_evidence_delivered,a3_16000_evidence_share,a3_16000_delivered,a3_16000_chars,a3_16000_payload_sha256,a3_16000_spread_evidence,a3_16000_relevance_evidence,session_16000_complete,session_16000_any,session_16000_evidence_delivered,session_16000_evidence_share,session_16000_delivered,session_16000_chars,session_16000_payload_sha256,session_16000_spread_evidence,session_16000_relevance_evidence,dynamic_16000_complete,dynamic_16000_any,dynamic_16000_evidence_delivered,dynamic_16000_evidence_share,dynamic_16000_delivered,dynamic_16000_chars,dynamic_16000_payload_sha256,dynamic_16000_spread_evidence,dynamic_16000_relevance_evidence,control_32000_complete,control_32000_any,control_32000_evidence_delivered,control_32000_evidence_share,control_32000_delivered,control_32000_chars,control_32000_payload_sha256,control_32000_spread_evidence,control_32000_relevance_evidence,a3_32000_complete,a3_32000_any,a3_32000_evidence_delivered,a3_32000_evidence_share,a3_32000_delivered,a3_32000_chars,a3_32000_payload_sha256,a3_32000_spread_evidence,a3_32000_relevance_evidence,session_32000_complete,session_32000_any,session_32000_evidence_delivered,session_32000_evidence_share,session_32000_delivered,session_32000_chars,session_32000_payload_sha256,session_32000_spread_evidence,session_32000_relevance_evidence,dynamic_32000_complete,dynamic_32000_any,dynamic_32000_evidence_delivered,dynamic_32000_evidence_share,dynamic_32000_delivered,dynamic_32000_chars,dynamic_32000_payload_sha256,dynamic_32000_spread_evidence,dynamic_32000_relevance_evidence
23243cf4b49ea3a803d3fc07a7e6624ee947b95f1d92963aeb572f26b8d56a24,65ac552fe5146c39aaa65c250ddab0516010b63c585a14153c85302f57d8dc9b,conv-41,0,2,targeted,True,1,False,False,0,0.0,46,15982,c309d09efdbca8514ecff825398946a8611d5e2139b841d0b91a184e0fb52b76,0,0,False,False,0,0.0,47,15942,8b9260c1844a4b063ed2b16681e0d59927c714976b3d9cdc3fac613a48a83aa3,0,0,False,False,0,0.0,46,15997,6a95eaac803cbdd48f33ee90a0dbaceaa6062c506e848828e611eb7da096ef83,0,0,False,False,0,0.0,46,15988,454cb4ab2e82d297f2f44635d63509e040f87547c68c5f94b33a9fa682de0eaf,0,0,False,False,0,0.0,97,31898,87e4f9a15ea13d5b5790b034f372c4f76b186d4912cc78933c81bf9ad2f3d385,0,0,False,False,0,0.0,96,31857,c4c4ae5455c652fe2625e8be8fe8df22ab9db110a2d8cb417063d57f1f728bb0,0,0,False,False,0,0.0,97,31898,8191a6028fb9febc3057573c55cfa21aab2f2816000149a04c9583ea887f0364,0,0,False,False,0,0.0,96,31892,06c96b652d6e28258a106925462f22141a35fc377ad16f09ca6e1cd9b6d0f033,0,0
f31c0587f2693f0e2d562ab870497874e312f17b7f7dc307450d1ccb83dcdf99,9bfeb507fdcb02c41f4e684845b8ee97b9eb159a84cf7dfa2c16f4f935e939fc,conv-41,1,2,targeted,True,1,True,True,1,1.0,45,15958,75196fb7663d95d8b7ed34d35ba0b38f843539736a43b1297792846a2a17ea57,0,1,True,True,1,1.0,46,15976,ed8ca58520e59e027847550353ab142808c352e9d6538d08b85572034f679e85,0,1,True,True,1,1.0,46,15909,ab5f1da428b099f85927a53e767d119ac6a5d19f605a8dd584b7408220e6bf9d,0,1,True,True,1,1.0,46,15918,ab9ad0ed331f21de66763c334367368f1c892865042165b0f903a81c6bcc9ba2,0,1,True,True,1,1.0,95,31949,c6c660f919ac84b93c6f6d5cd0b9d09c5dff0cf53505f3f19c51d853faef9b9f,0,1,True,True,1,1.0,94,31898,2bbb10e63af678bcd31104298fda7f5a5c20cc0821d26c72d028a16f1f5a3ba6,0,1,True,True,1,1.0,95,31888,3342d63206238b45f54ad726dce270c961a6f44a789fce7b30397a9d90f4b2dd,0,1,True,True,1,1.0,96,31869,c9b028c92b46742b42f170507d82ba47b4db1d91084b45ed91980912ad02285f,0,1
eeebe764dda0f487d425e37b9278be32bad636e5092e2dd95d6ac7eb79182148,f26a4a49f036b0038b1bf1592cb3e7ded29c57e234bff734000460357610d250,conv-41,2,1,other,True,2,True,True,2,1.0,49,15937,bde648c478aa6068e2271ee58b99e821cb6cf8605a1d7f481277fe1ad10f93eb,0,2,True,True,2,1.0,49,15912,3076ec64b374ac0a9d99b643c5f1004816a8d48a1661f5bb7b904393f87ee3f9,0,2,True,True,2,1.0,50,15903,217d6b03edd9a9957616b6688d6c8ad56930245b89e78ac433e4dec8d6ac7d64,0,2,True,True,2,1.0,50,15914,fa0594af4b6c4e338c6e30818c5f68934cfe45871afebc5db5fdba07c069c132,0,2,True,True,2,1.0,102,31996,8c623eb015f39d17af490c6d98d6cf947bdab4096b5b78220bee05d901f71402,0,2,True,True,2,1.0,102,31944,f1448e84d4472da14ab05e5c67e125e358f28396c2b47f53776427c7e3a1e31e,0,2,True,True,2,1.0,103,31995,d0c5fdb821ee65a771ad81db96b6d5c320e8c110f1bbc10b8d72ec49083bb100,0,2,True,True,2,1.0,102,31974,ee0e0a6462130df883fd6d4965de321db9231dacd54f3b7d53ea321f30ab7286,0,2
52c4d728757d38547e4c43204f60f18344681583546c64e3c693d7ac8a8ee364,e528bd942852f555b7496e96b08314df2a1ba1e92cfd130f185140d093043899,conv-41,3,1,other,True,2,True,True,2,1.0,44,15933,c602f620aee7e89a75490e98a8f76fd507bb9011488a467e87dd7be6c240cbcb,0,2,True,True,2,1.0,44,15994,457a6fa2bbc8378d5e22c59f56c1254e6f03a65ad24b8befe756f8cc292aee12,1,1,True,True,2,1.0,44,15997,7b49855797fb1a20e90a571c860d89302a10372b1261f714d174f2e823927b3c,1,1,True,True,2,1.0,45,15992,624fc362ee06062eccb6258b78de921b03ebba5ad3236631d881118cff73c86e,1,1,True,True,2,1.0,95,31991,f5186a86265a5f0ef55bb33f0f77917eb95ecc8c69c3d4d91f7bd366ed573f1a,0,2,True,True,2,1.0,94,31954,6ec5f2226232bea4052a4d54293ea627ffe811ec48138808e651ec1988a317f4,0,2,True,True,2,1.0,95,31997,361183c2432d6432759af31f00213ce5a7521db1ab66e49be83c1792aba025a5,0,2,True,True,2,1.0,91,31981,95c5e8265c8ec3b38c05a900901c99dc26d641670ccbbba99a2d751dd6229c9d,0,2
9299ec8afd77f28707bfb07807cc43aba11607c80b7e853b2a6a01c4ce6a5033,8c87ac019eb499d4a2249fb7e87b7ef7273c8eb25b6392e523dab4f31da58e55,conv-41,4,2,targeted,True,1,True,True,1,1.0,49,15940,103c5b50edb2fe49312f13ccd432d9a22dcdfadfdbb5b61ada07965216a784c7,0,1,True,True,1,1.0,49,15990,8c4ac3967e92d91f781c8d38f2bd30b9036e3fee5914f18766ac2509d1fc7aa9,0,1,True,True,1,1.0,50,16000,218269abb0eecc4f1d4b3ffc2287cfba93d85b2de457772b1e7288c26ca22cc4,0,1,True,True,1,1.0,48,15992,c6a262f348a93e49c6f29f9cc3809858ba6e6d06c2a15aed20a26422af5e69f9,0,1,True,True,1,1.0,93,31934,ed486b56ca758a9a2cebef15c2a51a77da43f495942bdc48822c1c65d0ceb234,0,1,True,True,1,1.0,93,31999,c6d6b244d2b9cb317ed5c1e2c581b809b74d450e3841559229a2484405c35fd7,0,1,True,True,1,1.0,95,31992,b3f345ba9a626b9dfb2f91a0278eee813e30b00631632ea31e4b76f48dd6803c,0,1,True,True,1,1.0,91,31992,fed347e8dd02eea2381dfe12bd29d0fa20c5ccfd22de7e0081991ccfe45cd836,0,1
a197569c02da505ab7c25a84a7ef9f9e946f7b02e948a3c39da3efd8864b9268,f76f3b2963897893929a2a1d9ade2430e9ef0b9007be33bbadd2ea59767e5dba,conv-41,5,2,targeted,True,1,False,False,0,0.0,46,15974,b19affe045f98a86ec235f498f642ab435c90b108d10f506e34bf2bf603d74fa,0,0,False,False,0,0.0,46,15942,3b7a4206da281c10938ca55a9c263e7e563541ade1cb32b8e24ffe9d22d0170c,0,0,False,False,0,0.0,46,15946,14d2223356b2cc680c1fe56c147c6dd3f72daea3f0799d2c0c4de373ec928f15,0,0,False,False,0,0.0,48,15992,9740928f00a95150769a853197c5834d9e600ec1b01979a02cb306b4869ffedf,0,0,True,True,1,1.0,98,31869,0a5ad52be4dc3fb9f0ad625fa0a2ad3099549330b591741dabbe6dd1f461ad16,0,1,True,True,1,1.0,98,31862,3419b53ab84364092422b3f16b14a6c81149c0d40a39180c48579f27711d0ac5,1,0,True,True,1,1.0,98,31982,10964f361050c3a6792fbe89adb020c48fdaeac8cadbb35b9a777ed37d063e58,1,0,True,True,1,1.0,97,31893,3c358fae1eba3d2afc55b3cc4240af499ad83d00bf36c80daf0ff3daa13bb44a,1,0
e70a6970ac07f05e5b8ae21c0809feef29584b93f8c2f1d7e513db26b7876192,2095837b21de36d61d053619ecf9db839be122449ac1064734d644bfe4ec3073,conv-41,6,1,breadth,True,4,False,True,3,0.75,49,15900,667679dafddee5bd85787d36750866b3d7e13260807874e23cb9293ac3c0de37,0,3,False,True,3,0.75,49,15964,38533d12add96b5d74c20538c5d537f2fda6ba4cb0f193bead87dd8a8d1bc1cb,1,2,False,True,3,0.75,50,15885,fb067a3f7da4cf5a4b2c998c96c8d2238e8e6f2f21ebe620d956d5cb8db547a0,1,2,False,True,3,0.75,50,15973,78247458f587c27c758c9a4577a76b2b9bcd658f30c10a76868eb5e2bafc6950,1,2,True,True,4,1.0,99,31919,0787176abca3c4f764e60a7627afd0cf896a3023b8f67347c67e1dd5226c81e2,0,4,True,True,4,1.0,100,31975,866046617cc0ef4a1b9a15ffcd9e074ecafea54125e86f1fda3a352e2e4050c0,1,3,True,True,4,1.0,100,31893,228cfddc34fff23e9eb4292538adba20771561dd7cd6b893fad0a5b22580cf75,1,3,False,True,3,0.75,99,31993,b0fc45087523280926f13d0ad033f8e3d5aa903e6d3982770cdc4d6938f3bee3,0,3
4aa05cb61c03fe9aedc8b3950f684632dc936dfe6db270ba6f148ae6162f1ff6,3e2817ee1f0616b02b1684d5c4bfb8b31990aa5604ece9cd4568827df0a0cdd9,conv-41,7,1,other,True,2,True,True,2,1.0,56,15978,6595fab361e7985e4028fb0c1b2ea9d0aa04f9e422e79113da9d3ab2f4360024,0,2,True,True,2,1.0,54,15892,415ff50e2699e1c56d4b884976174dae8bb2300fe9b3d4f7a59297081655ee9e,1,1,True,True,2,1.0,54,15918,0460bc84b97f1004e85a667c2289d63fd03813c4c80d5cd9f66b154d65ed5743,1,1,True,True,2,1.0,55,15898,b82cdbb840c3557c79ae4aca048a6f421d56c3eb7ffeb0ed453a6804df96699b,1,1,True,True,2,1.0,108,31898,ce932eaae014a9372e694fcfc8e8eecb355d1ba1b8baaf9312a0c4d86907c569,0,2,True,True,2,1.0,108,31945,14f1c43346833530548df0c67bdb414ff28396939aca03d6977b780b43ef1d4d,0,2,True,True,2,1.0,107,31910,2d053be797121d746f890bc5337ac296849077758e0dc8ae3ee848514dd0bc0c,0,2,True,True,2,1.0,105,31907,6f59d6bdf8db7d1fd504dd102beb79ed20ea9d09950cbec034ade80612522e40,0,2
cea31601e0e904fea2d3fa5829c0f88abe279ec181e51f482b2e8e0848390c6e,e3e660dc224f7a8c67928a697d7efdbda941a7fd194ff57d73b9f368cb21d7ec,conv-41,8,3,targeted,True,1,False,False,0,0.0,52,15967,e0d84b7edc30512818aa1ca66265a5a01c827fb5d484c3d6287d9fc411808165,0,0,False,False,0,0.0,51,15990,e1a8815fcb6506ee1f7df366ac0c7e3ca3d881123b28c33ef2139f69db7de4da,0,0,False,False,0,0.0,52,15906,17438837dacae8b6d7e604de297cc7b0e103345779df88e790b25b06c7bbcace,0,0,False,False,0,0.0,52,15996,09aeff8525a343c9c6cae4ba68907e25cb7166f920bc155b2f4e6c6f951023d4,0,0,False,False,0,0.0,101,31973,6e9bfe63377211f2d02cf1e01f3766a6f8d24de3cbc31b211c6e032ecb32f9c6,0,0,False,False,0,0.0,101,31903,e5286514a72fc11b0009a05e799624112011d8690459fe8507166bb59d627dad,0,0,False,False,0,0.0,100,31992,252a50fc6c9acbe3eacbfe5794f2dea455754a384e871bed8dc98b1a9ceee6b3,0,0,False,False,0,0.0,98,31979,d247a5bc465b08e6973afff7f15d6bc5cfaa5595b7820b31c4366e12fe6ba8cc,0,0
78c1ba68cb06b77eb633e73790e7c55c1ccee103124b8149cd1a453d3fe2418f,6c81924222f1af9208fafb0b91b7ccc3288849a49055a10385a9fb141ca21046,conv-41,9,1,other,True,2,True,True,2,1.0,43,15940,5a42a2d2d51e6511c796679f3e579826c7c0592ca6f1ba14b39704f293e7c677,0,2,True,True,2,1.0,43,15980,ccd0d39aea64e7f385cf0fde9509bf9aec041d03f9b5986438a0ed2b67683bc6,0,2,True,True,2,1.0,44,15983,c0efa04840736df331ab9a7cea676aaad3a1f0ebfff24bb3f058687d6eda8a3e,0,2,True,True,2,1.0,43,15947,1704a987ca495af11cec532a08d4a56ab47911050d5da23988504771c2b78151,0,2,True,True,2,1.0,91,31926,b39376a2ffbc7d2d8e2bd0d96700e61c965a9020ed4d1d7ac923c13ceec48416,0,2,True,True,2,1.0,91,31973,96f0c3b3cb65de378049dc51a16114de604609d90de710a8d7b15feeb646779c,0,2,True,True,2,1.0,91,31960,b41f2497f823ac7d71bdab4540e76c3cadc30b70b6cc6eddd02d01b1a845b828,0,2,True,True,2,1.0,92,31986,1c133faa5ae2d947ef299662f55fec2727cfdd96f38b8bfd71f8512709fec3ae,0,2
