arm,question,turn,domain,item,in_prompt,in_answer,status
L,Q11,120,civil,Halcyon Crossing,True,True,recalled
L,Q11,120,civil,847,True,True,recalled
L,Q11,120,civil,Dr. Anara Bekova,True,True,recalled
L,Q11,120,civil,S460ML,True,True,recalled
L,Q11,120,civil,92.4,True,True,recalled
L,Q11,120,art,The Annunciation of Forli,False,False,absent
L,Q11,120,art,Melozzo da Forli,False,False,absent
L,Q11,120,art,Cardinal Giuliano della Rovere,False,False,absent
L,Q11,120,art,1483,False,False,absent
L,Q11,120,monetary,Taylor Rule,False,False,absent
L,Q11,120,monetary,Federal Reserve,True,True,recalled
L,Q11,120,monetary,Dr. Priya Mehta,False,False,absent
L,Q11,120,monetary,2.3%,False,False,absent
L,Q11,120,marine,Vampyroteuthis infernalis,True,True,recalled
L,Q11,120,marine,Dr. Kenji Watanabe,True,True,recalled
L,Q11,120,marine,600,True,True,recalled
L,Q11,120,marine,marine snow,True,True,recalled
L,Q14,121,civil,Halcyon Crossing,True,True,recalled
L,Q14,121,civil,847,True,True,recalled
L,Q14,121,civil,Dr. Anara Bekova,True,False,unused
L,Q14,121,civil,S460ML,True,False,unused
L,Q14,121,civil,92.4,True,False,unused
L,Q14,121,art,The Annunciation of Forli,True,False,unused
L,Q14,121,art,Melozzo da Forli,True,False,unused
L,Q14,121,art,Cardinal Giuliano della Rovere,True,False,unused
L,Q14,121,art,1483,True,False,unused
L,Q14,121,monetary,Taylor Rule,False,False,absent
L,Q14,121,monetary,Federal Reserve,True,True,recalled
L,Q14,121,monetary,Dr. Priya Mehta,False,False,absent
L,Q14,121,monetary,2.3%,False,False,absent
L,Q14,121,marine,Vampyroteuthis infernalis,True,True,recalled
L,Q14,121,marine,Dr. Kenji Watanabe,True,True,recalled
L,Q14,121,marine,600,True,True,recalled
L,Q14,121,marine,marine snow,True,False,unused
S,Q11,120,civil,Halcyon Crossing,True,True,recalled
S,Q11,120,civil,847,True,True,recalled
S,Q11,120,civil,Dr. Anara Bekova,True,True,recalled
S,Q11,120,civil,S460ML,True,True,recalled
S,Q11,120,civil,92.4,True,True,recalled
S,Q11,120,art,The Annunciation of Forli,False,False,absent
S,Q11,120,art,Melozzo da Forli,False,False,absent
S,Q11,120,art,Cardinal Giuliano della Rovere,False,False,absent
S,Q11,120,art,1483,False,False,absent
S,Q11,120,monetary,Taylor Rule,False,False,absent
S,Q11,120,monetary,Federal Reserve,False,False,absent
S,Q11,120,monetary,Dr. Priya Mehta,False,False,absent
S,Q11,120,monetary,2.3%,False,False,absent
S,Q11,120,marine,Vampyroteuthis infernalis,True,True,recalled
S,Q11,120,marine,Dr. Kenji Watanabe,False,False,absent
S,Q11,120,marine,600,False,False,absent
S,Q11,120,marine,marine snow,False,False,absent
S,Q14,121,civil,Halcyon Crossing,True,True,recalled
S,Q14,121,civil,847,True,False,unused
S,Q14,121,civil,Dr. Anara Bekova,True,False,unused
S,Q14,121,civil,S460ML,True,True,recalled
S,Q14,121,civil,92.4,True,False,unused
S,Q14,121,art,The Annunciation of Forli,False,False,absent
S,Q14,121,art,Melozzo da Forli,False,False,absent
S,Q14,121,art,Cardinal Giuliano della Rovere,False,False,absent
S,Q14,121,art,1483,False,False,absent
S,Q14,121,monetary,Taylor Rule,False,False,absent
S,Q14,121,monetary,Federal Reserve,False,False,absent
S,Q14,121,monetary,Dr. Priya Mehta,False,False,absent
S,Q14,121,monetary,2.3%,False,False,absent
S,Q14,121,marine,Vampyroteuthis infernalis,True,True,recalled
S,Q14,121,marine,Dr. Kenji Watanabe,False,False,absent
S,Q14,121,marine,600,False,False,absent
S,Q14,121,marine,marine snow,False,False,absent
